person_id,origin,destination,origin_type,destination_type,direction,origin_is_flexible_land,destination_is_flexible_land,candidate_origin_airports,candidate_destination_airports,fixed_origin_airport,fixed_destination_airport,nearest_airport,nearest_airport_distance_km,airport_rankings,direct_distance_lower_bound_km,direct_lower_bound_origin,direct_lower_bound_destination,technical_min_travel_minutes_lower_bound,technical_min_aircraft_type,technical_min_sea_stops,minimum_fuel_requirement_estimate_kg,earliest,latest,task_type,priority,window_minutes,slack_minutes,potentially_tight
P0033,LAND,F003,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,192.0,"[""A01"", ""A02"", ""A03""]",192.0,A01,F003,47,T1,1,480.0,2026-08-03 07:39,2026-08-05 08:26,shift,3,2927,2880,0
P0034,F048,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A03,254.0,"[""A03"", ""A02"", ""A01""]",254.0,F048,A03,70,T2,0,635.0,2026-08-05 11:44,2026-08-06 12:54,shift,3,1510,1440,0
P0035,LAND,F003,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,192.0,"[""A01"", ""A02"", ""A03""]",192.0,A01,F003,47,T1,1,480.0,2026-08-03 07:39,2026-08-04 08:26,shift,3,1487,1440,0
P0036,A01,F001,AIRPORT,FACILITY,outbound,0,0,"[""A01""]",[],A01,,A01,219.0,"[""A01"", ""A02"", ""A03""]",219.0,A01,F001,53,T1,1,547.5,2026-08-08 06:53,2026-08-09 23:59,shift,3,2466,2413,0
P0037,LAND,F021,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,218.0,"[""A01"", ""A02"", ""A03""]",218.0,A01,F021,53,T1,1,545.0,2026-08-06 07:01,2026-08-06 09:42,production,2,161,108,0
P0038,F036,F046,FACILITY,FACILITY,shuttle,0,0,[],[],,,A02,227.0,"[""A02"", ""A03"", ""A01""]",41.0,F036,F046,10,T1,1,102.5,2026-08-03 00:00,2026-08-04 08:10,shift,3,1930,1920,0
P0039,F044,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A03,317.0,"[""A03"", ""A02"", ""A01""]",317.0,F044,A03,87,T2,0,792.5,2026-08-03 09:32,2026-08-06 11:13,shift,3,4421,4334,0
P0040,A03,F047,AIRPORT,FACILITY,outbound,0,0,"[""A03""]",[],A03,,A02,241.0,"[""A02"", ""A01"", ""A03""]",248.0,A03,F047,60,T1,1,620.0,2026-08-08 09:06,2026-08-08 12:49,production,2,223,163,0
P0041,F019,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,204.0,"[""A01"", ""A02"", ""A03""]",204.0,F019,A01,49,T1,0,510.0,2026-08-05 16:23,2026-08-07 17:52,shift,3,2969,2920,0
P0042,LAND,F006,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,235.0,"[""A01"", ""A02"", ""A03""]",235.0,A01,F006,57,T1,1,587.5,2026-08-03 00:00,2026-08-05 10:37,shift,3,3517,3460,0
P0043,F051,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A03,279.0,"[""A03"", ""A02"", ""A01""]",279.0,F051,A03,77,T2,0,697.5,2026-08-05 10:57,2026-08-06 12:26,shift,3,1529,1452,0
P0044,LAND,F006,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,235.0,"[""A01"", ""A02"", ""A03""]",235.0,A01,F006,57,T1,1,587.5,2026-08-05 07:00,2026-08-08 08:15,temporary,4,4395,4338,0
P0045,LAND,F019,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,204.0,"[""A01"", ""A02"", ""A03""]",204.0,A01,F019,49,T1,1,510.0,2026-08-03 09:07,2026-08-05 10:06,shift,3,2939,2890,0
P0046,F002,A01,FACILITY,AIRPORT,inbound,0,0,[],"[""A01""]",,A01,A01,217.0,"[""A01"", ""A02"", ""A03""]",217.0,F002,A01,53,T1,0,542.5,2026-08-06 08:48,2026-08-07 09:57,shift,3,1509,1456,0
P0047,F048,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A03,254.0,"[""A03"", ""A02"", ""A01""]",254.0,F048,A03,70,T2,0,635.0,2026-08-07 10:31,2026-08-09 11:52,shift,3,2961,2891,0
P0048,F039,F048,FACILITY,FACILITY,shuttle,0,0,[],[],,,A03,254.0,"[""A03"", ""A02"", ""A01""]",31.0,F039,F048,8,T1,1,77.5,2026-08-08 07:36,2026-08-09 23:59,shift,3,2423,2415,0
P0049,A01,F012,AIRPORT,FACILITY,outbound,0,0,"[""A01""]",[],A01,,A01,208.0,"[""A01"", ""A02"", ""A03""]",208.0,A01,F012,50,T1,1,520.0,2026-08-08 07:14,2026-08-09 08:20,shift,3,1506,1456,0
P0050,F020,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,171.0,"[""A01"", ""A02"", ""A03""]",171.0,F020,A01,42,T1,0,427.5,2026-08-05 08:05,2026-08-08 08:56,shift,3,4371,4329,0
P0051,F002,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,217.0,"[""A01"", ""A02"", ""A03""]",217.0,F002,A01,53,T1,0,542.5,2026-08-05 08:48,2026-08-08 09:57,shift,3,4389,4336,0
P0052,F030,F026,FACILITY,FACILITY,shuttle,0,0,[],[],,,A01,204.0,"[""A01"", ""A02"", ""A03""]",59.0,F030,F026,15,T1,1,147.5,2026-08-07 16:11,2026-08-09 16:30,shift,3,2899,2884,0
P0053,F026,F033,FACILITY,FACILITY,shuttle,0,0,[],[],,,A01,227.0,"[""A01"", ""A02"", ""A03""]",35.0,F026,F033,9,T1,1,87.5,2026-08-05 07:45,2026-08-08 07:55,shift,3,4330,4321,0
P0054,F018,A02,FACILITY,AIRPORT,inbound,0,0,[],"[""A02""]",,A02,A01,196.0,"[""A01"", ""A02"", ""A03""]",214.0,F018,A02,52,T1,0,535.0,2026-08-03 09:08,2026-08-05 10:00,shift,3,2932,2880,0
P0055,LAND,F022,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,194.0,"[""A01"", ""A02"", ""A03""]",194.0,A01,F022,47,T1,1,485.0,2026-08-03 07:37,2026-08-05 08:57,shift,3,2960,2913,0
P0056,LAND,F021,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,218.0,"[""A01"", ""A02"", ""A03""]",218.0,A01,F021,53,T1,1,545.0,2026-08-05 07:44,2026-08-07 08:54,shift,3,2950,2897,0
P0057,A01,F007,AIRPORT,FACILITY,outbound,0,0,"[""A01""]",[],A01,,A01,233.0,"[""A01"", ""A02"", ""A03""]",233.0,A01,F007,56,T1,1,582.5,2026-08-08 07:30,2026-08-09 23:59,shift,3,2429,2373,0
P0058,LAND,F022,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,194.0,"[""A01"", ""A02"", ""A03""]",194.0,A01,F022,47,T1,1,485.0,2026-08-05 08:25,2026-08-07 09:31,shift,3,2946,2899,0
P0059,A02,F019,AIRPORT,FACILITY,outbound,0,0,"[""A02""]",[],A02,,A01,204.0,"[""A01"", ""A02"", ""A03""]",216.0,A02,F019,52,T1,1,540.0,2026-08-03 00:00,2026-08-05 10:06,shift,3,3486,3434,0
P0060,F051,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A03,279.0,"[""A03"", ""A02"", ""A01""]",279.0,F051,A03,77,T2,0,697.5,2026-08-05 10:57,2026-08-06 12:26,shift,3,1529,1452,0
P0061,A01,F014,AIRPORT,FACILITY,outbound,0,0,"[""A01""]",[],A01,,A01,164.0,"[""A01"", ""A02"", ""A03""]",164.0,A01,F014,40,T1,1,410.0,2026-08-04 07:15,2026-08-07 08:07,shift,3,4372,4332,0
P0062,F002,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,217.0,"[""A01"", ""A02"", ""A03""]",217.0,F002,A01,53,T1,0,542.5,2026-08-04 08:48,2026-08-08 09:57,temporary,4,5829,5776,0
P0063,F019,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,204.0,"[""A01"", ""A02"", ""A03""]",204.0,F019,A01,49,T1,0,510.0,2026-08-03 10:16,2026-08-05 11:45,shift,3,2969,2920,0
P0064,F043,F051,FACILITY,FACILITY,shuttle,0,0,[],[],,,A03,279.0,"[""A03"", ""A02"", ""A01""]",35.0,F043,F051,9,T1,1,87.5,2026-08-04 10:17,2026-08-06 10:29,shift,3,2892,2883,0
P0065,LAND,F034,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,246.0,"[""A01"", ""A02"", ""A03""]",246.0,A01,F034,60,T1,1,615.0,2026-08-08 06:13,2026-08-09 23:59,shift,3,2506,2446,0
P0066,LAND,F034,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,246.0,"[""A01"", ""A02"", ""A03""]",246.0,A01,F034,60,T1,1,615.0,2026-08-08 06:13,2026-08-09 07:55,shift,3,1542,1482,0
P0067,F019,F033,FACILITY,FACILITY,shuttle,0,0,[],[],,,A01,227.0,"[""A01"", ""A02"", ""A03""]",24.0,F019,F033,6,T1,1,60.0,2026-08-03 00:00,2026-08-05 09:54,shift,3,3474,3468,0
P0068,LAND,F023,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A02,267.0,"[""A02"", ""A01"", ""A03""]",267.0,A02,F023,73,T2,1,667.5,2026-08-03 06:17,2026-08-05 07:30,shift,3,2953,2880,0
P0069,F042,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A03,368.0,"[""A03"", ""A02"", ""A01""]",368.0,F042,A03,101,T2,0,920.0,2026-08-04 12:01,2026-08-05 14:50,shift,3,1609,1508,0
P0070,LAND,F033,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,227.0,"[""A01"", ""A02"", ""A03""]",227.0,A01,F033,55,T1,1,567.5,2026-08-04 07:32,2026-08-07 08:48,shift,3,4396,4341,0
P0071,F030,F026,FACILITY,FACILITY,shuttle,0,0,[],[],,,A01,204.0,"[""A01"", ""A02"", ""A03""]",59.0,F030,F026,15,T1,1,147.5,2026-08-07 16:11,2026-08-09 23:59,shift,3,3348,3333,0
P0072,LAND,F052,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A02,259.0,"[""A02"", ""A03"", ""A01""]",259.0,A02,F052,71,T2,1,647.5,2026-08-06 08:58,2026-08-08 11:09,shift,3,3011,2940,0
P0073,F023,A02,FACILITY,AIRPORT,inbound,0,0,[],"[""A02""]",,A02,A02,267.0,"[""A02"", ""A01"", ""A03""]",267.0,F023,A02,73,T2,0,667.5,2026-08-04 07:40,2026-08-05 09:13,shift,3,1533,1460,0
P0074,LAND,F044,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A03,317.0,"[""A03"", ""A02"", ""A01""]",317.0,A03,F044,87,T2,1,792.5,2026-08-04 07:31,2026-08-06 09:12,shift,3,2981,2894,0
P0075,F030,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,158.0,"[""A01"", ""A02"", ""A03""]",158.0,F030,A01,38,T1,0,395.0,2026-08-05 10:40,2026-08-07 11:30,shift,3,2930,2892,0
P0076,F024,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,211.0,"[""A01"", ""A02"", ""A03""]",211.0,F024,A01,51,T1,0,527.5,2026-08-04 10:08,2026-08-04 12:56,production,2,168,117,0
P0077,LAND,F010,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,216.0,"[""A01"", ""A02"", ""A03""]",216.0,A01,F010,52,T1,1,540.0,2026-08-08 09:58,2026-08-09 23:59,shift,3,2281,2229,0
P0078,F009,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,166.0,"[""A01"", ""A02"", ""A03""]",166.0,F009,A01,40,T1,0,415.0,2026-08-04 08:43,2026-08-05 10:01,shift,3,1518,1478,0
P0079,F002,F004,FACILITY,FACILITY,shuttle,0,0,[],[],,,A01,197.0,"[""A01"", ""A02"", ""A03""]",33.0,F002,F004,8,T1,1,82.5,2026-08-04 08:15,2026-08-06 08:56,shift,3,2921,2913,0
P0080,F038,F039,FACILITY,FACILITY,shuttle,0,0,[],[],,,A03,223.0,"[""A03"", ""A02"", ""A01""]",42.0,F038,F039,11,T1,1,105.0,2026-08-08 10:20,2026-08-09 23:59,shift,3,2259,2248,0
P0081,LAND,F001,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,219.0,"[""A01"", ""A02"", ""A03""]",219.0,A01,F001,53,T1,1,547.5,2026-08-05 10:08,2026-08-07 11:08,shift,3,2940,2887,0
P0082,F031,F021,FACILITY,FACILITY,shuttle,0,0,[],[],,,A01,218.0,"[""A01"", ""A02"", ""A03""]",44.0,F031,F021,11,T1,1,110.0,2026-08-09 11:14,2026-08-09 23:59,shift,3,765,754,0
P0083,LAND,F034,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,246.0,"[""A01"", ""A02"", ""A03""]",246.0,A01,F034,60,T1,1,615.0,2026-08-08 06:13,2026-08-09 23:59,shift,3,2506,2446,0
P0084,F039,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A03,223.0,"[""A03"", ""A02"", ""A01""]",223.0,F039,A03,54,T1,0,557.5,2026-08-05 10:37,2026-08-08 11:48,shift,3,4391,4337,0
P0085,F035,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,258.0,"[""A01"", ""A02"", ""A03""]",258.0,F035,A01,71,T2,0,645.0,2026-08-06 09:43,2026-08-07 11:10,shift,3,1527,1456,0
P0086,LAND,F009,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,166.0,"[""A01"", ""A02"", ""A03""]",166.0,A01,F009,40,T1,1,415.0,2026-08-07 09:28,2026-08-09 23:59,shift,3,3751,3711,0
P0087,F039,F048,FACILITY,FACILITY,shuttle,0,0,[],[],,,A03,254.0,"[""A03"", ""A02"", ""A01""]",31.0,F039,F048,8,T1,1,77.5,2026-08-09 07:36,2026-08-09 23:59,shift,3,983,975,0
P0088,F034,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,246.0,"[""A01"", ""A02"", ""A03""]",246.0,F034,A01,60,T1,0,615.0,2026-08-07 08:05,2026-08-09 23:59,shift,3,3834,3774,0
P0089,LAND,F006,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,235.0,"[""A01"", ""A02"", ""A03""]",235.0,A01,F006,57,T1,1,587.5,2026-08-03 00:00,2026-08-04 10:37,shift,3,2077,2020,0
P0090,F021,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,218.0,"[""A01"", ""A02"", ""A03""]",218.0,F021,A01,53,T1,0,545.0,2026-08-09 09:41,2026-08-09 23:59,shift,3,858,805,0
P0091,LAND,F033,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,227.0,"[""A01"", ""A02"", ""A03""]",227.0,A01,F033,55,T1,1,567.5,2026-08-04 07:32,2026-08-07 08:48,shift,3,4396,4341,0
P0092,F042,F040,FACILITY,FACILITY,shuttle,0,0,[],[],,,A03,342.0,"[""A03"", ""A02"", ""A01""]",28.0,F042,F040,7,T1,1,70.0,2026-08-05 09:55,2026-08-07 10:04,shift,3,2889,2882,0
P0093,LAND,F012,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,208.0,"[""A01"", ""A02"", ""A03""]",208.0,A01,F012,50,T1,1,520.0,2026-08-04 10:25,2026-08-06 11:31,shift,3,2946,2896,0
P0094,LAND,F026,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,204.0,"[""A01"", ""A02"", ""A03""]",204.0,A01,F026,49,T1,1,510.0,2026-08-03 07:14,2026-08-05 08:24,shift,3,2950,2901,0
P0095,LAND,F043,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A03,303.0,"[""A03"", ""A02"", ""A01""]",303.0,A03,F043,83,T2,1,757.5,2026-08-07 06:13,2026-08-07 09:58,production,2,225,142,0
P0096,F007,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,233.0,"[""A01"", ""A02"", ""A03""]",233.0,F007,A01,56,T1,0,582.5,2026-08-08 08:47,2026-08-08 10:13,emergency,1,86,30,0
P0097,LAND,F039,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A03,223.0,"[""A03"", ""A02"", ""A01""]",223.0,A03,F039,54,T1,1,557.5,2026-08-06 09:16,2026-08-07 10:27,shift,3,1511,1457,0
P0098,F038,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A03,263.0,"[""A03"", ""A02"", ""A01""]",263.0,F038,A03,72,T2,0,657.5,2026-08-05 09:51,2026-08-07 11:15,shift,3,2964,2892,0
P0099,LAND,F032,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A02,279.0,"[""A02"", ""A01"", ""A03""]",279.0,A02,F032,77,T2,1,697.5,2026-08-07 06:58,2026-08-09 23:59,shift,3,3901,3824,0
P0100,F002,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,217.0,"[""A01"", ""A02"", ""A03""]",217.0,F002,A01,53,T1,0,542.5,2026-08-06 08:48,2026-08-08 09:57,shift,3,2949,2896,0
P0101,F012,A01,FACILITY,AIRPORT,inbound,0,0,[],"[""A01""]",,A01,A01,208.0,"[""A01"", ""A02"", ""A03""]",208.0,F012,A01,50,T1,0,520.0,2026-08-08 08:30,2026-08-09 23:59,shift,3,2369,2319,0
P0102,LAND,F051,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A03,279.0,"[""A03"", ""A02"", ""A01""]",279.0,A03,F051,77,T2,1,697.5,2026-08-09 07:26,2026-08-09 23:59,shift,3,993,916,0
