person_id,aircraft_id,flight_no,pickup_stop_order,delivery_stop_order
P0208,A03-T2-H01,6,3,4
P0209,A02-T3-H02,2,0,1
P0210,A03-T2-H01,10,1,2
P0211,A02-T2-H02,1,1,2
P0212,A02-T1-H02,1,1,3
P0213,A02-T1-H02,5,0,1
P0214,A01-T2-H01,5,0,1
P0215,A03-T3-H03,5,0,1
P0216,A02-T2-H02,2,0,2
P0217,A02-T2-H01,6,2,4
P0218,A02-T2-H03,8,1,2
P0219,A01-T1-H02,4,3,4
P0220,A03-T3-H03,3,1,3
P0221,A02-T1-H01,1,0,1
P0222,A01-T1-H03,6,0,1
P0223,A01-T2-H01,6,3,4
P0224,A02-T2-H02,3,1,4
P0225,A01-T3-H02,9,1,2
P0226,A02-T3-H02,6,0,1
P0227,A03-T2-H02,2,0,2
P0228,A01-T3-H02,3,0,1
P0229,A01-T3-H01,4,0,1
P0230,A02-T3-H01,2,0,1
P0231,A01-T2-H01,1,1,3
P0232,A02-T2-H01,1,3,4
P0233,A01-T3-H01,9,2,3
P0234,A03-T2-H02,3,1,3
P0235,A01-T3-H02,3,1,2
P0236,A03-T2-H01,7,2,4
P0237,A01-T2-H03,5,2,3
P0238,A03-T2-H02,4,0,1
P0239,A01-T3-H02,3,0,1
P0240,A01-T2-H02,2,0,1
P0241,A01-T2-H02,8,0,1
P0242,A02-T3-H01,5,2,3
P0243,A01-T2-H02,6,1,3
P0244,A01-T2-H02,7,0,1
P0245,A02-T2-H02,8,0,1
P0246,A03-T2-H01,8,3,4
P0247,A01-T1-H01,4,0,2
P0248,A02-T2-H04,1,3,4
P0249,A02-T2-H02,5,0,1
P0250,A01-T2-H02,9,3,4
P0251,,,,
P0252,A01-T2-H01,9,0,2
P0253,A02-T2-H01,1,0,1
P0254,A02-T3-H02,4,0,2
P0255,A03-T2-H01,4,0,2
P0256,A02-T3-H01,5,2,3
P0257,A01-T2-H01,6,0,2
P0258,A01-T3-H02,6,2,3
P0259,A03-T2-H03,3,0,1
P0260,A03-T3-H01,1,0,1
P0261,A03-T2-H01,10,1,2
P0262,A03-T2-H01,10,1,2
P0263,A03-T3-H02,5,1,2
P0264,A03-T2-H01,4,3,4
P0265,A03-T3-H01,3,2,3
P0266,A01-T3-H02,3,0,1
P0267,A01-T2-H03,5,0,1
P0268,A02-T3-H02,7,0,1
P0269,A01-T2-H01,10,0,1
P0270,A03-T2-H01,2,2,3
P0271,A03-T2-H03,8,3,4
P0272,,,,
P0273,A02-T2-H02,6,3,4
P0274,A03-T2-H03,2,1,5
P0275,A01-T2-H01,7,0,1
P0276,A03-T2-H03,9,1,3
P0277,A03-T3-H03,2,1,3
P0278,A02-T3-H02,1,2,3
P0279,A02-T1-H02,1,1,3
P0280,A02-T2-H04,5,2,3
P0281,A01-T3-H01,2,1,2
P0282,A01-T1-H02,4,3,4
P0283,A03-T3-H03,1,1,4
P0284,A01-T2-H02,9,0,1
P0285,A03-T3-H02,2,1,3
P0286,A02-T2-H04,1,3,4
P0287,A01-T1-H02,4,1,3
P0288,A01-T1-H03,6,0,1
P0289,A01-T1-H02,2,0,2
P0290,A03-T2-H01,7,2,4
P0291,A03-T2-H02,6,2,3
P0292,A01-T1-H01,5,2,3
P0293,A01-T2-H02,9,0,1
P0294,A03-T3-H03,3,0,1
P0295,A01-T3-H02,8,1,2
P0296,A03-T3-H02,2,1,3
P0297,A02-T2-H01,2,1,3
P0298,A02-T2-H04,4,0,2
P0299,A02-T1-H02,2,0,1
P0300,A02-T3-H02,4,0,2
P0301,A01-T2-H03,10,2,3
P0302,A03-T2-H01,9,1,2
P0303,A01-T2-H01,9,0,1
P0304,A01-T3-H02,6,0,1
P0305,A01-T2-H01,8,0,2
P0306,A02-T3-H02,6,0,1
P0307,A02-T2-H01,4,0,3
P0308,,,,
P0309,A03-T3-H02,5,1,2
P0310,A02-T2-H03,1,3,4
P0311,A02-T3-H02,2,0,1
P0312,A01-T2-H01,8,2,3
P0313,A03-T2-H03,3,2,3
P0314,A03-T1-H01,1,2,5
P0315,A03-T2-H02,9,2,3
P0316,A03-T2-H02,5,2,4
P0317,A01-T3-H01,5,1,2
P0318,,,,
P0319,A01-T2-H01,6,3,4
P0320,A01-T2-H02,8,0,1
P0321,A01-T1-H03,3,2,3
P0322,A02-T2-H01,3,2,3
P0323,A02-T2-H02,3,0,1
P0324,A03-T2-H02,6,2,4
P0325,A03-T3-H02,1,2,3
P0326,A03-T2-H03,6,0,3
P0327,A02-T3-H02,5,1,3
P0328,A03-T2-H03,9,1,3
P0329,A03-T2-H03,2,3,5
P0330,A03-T3-H01,3,0,1
P0331,A02-T1-H02,4,2,4
P0332,A02-T1-H02,3,0,1
P0333,A03-T2-H03,4,2,4
P0334,A02-T3-H02,7,1,2
P0335,A03-T3-H03,4,2,3
P0336,A03-T2-H02,9,2,3
P0337,A01-T1-H01,1,3,4
P0338,A03-T2-H01,4,0,1
P0339,A03-T2-H01,9,1,2
P0340,A01-T1-H02,5,3,5
P0341,A03-T3-H01,4,3,4
P0342,A02-T2-H02,7,3,4
P0343,,,,
P0344,A02-T3-H02,5,0,1
P0345,A01-T2-H02,10,1,2
P0346,A02-T3-H02,6,1,2
P0347,A01-T2-H01,4,0,2
P0348,A01-T2-H03,6,1,3
P0349,A03-T2-H01,9,0,1
P0350,A01-T2-H02,10,0,1
P0351,A02-T2-H03,8,2,3
P0352,A02-T3-H01,7,2,4
P0353,A02-T2-H02,3,1,4
P0354,A01-T3-H02,4,1,2
P0355,A02-T2-H02,1,3,4
P0356,A03-T2-H02,9,2,3
P0357,A01-T3-H02,8,0,1
P0358,A01-T3-H02,6,1,2
P0359,,,,
P0360,A03-T3-H03,2,1,3
P0361,A01-T2-H01,8,2,3
P0362,A02-T3-H01,3,2,3
P0363,A01-T2-H01,1,2,3
P0364,A03-T3-H02,1,2,3
P0365,A03-T2-H03,5,0,1
P0366,,,,
P0367,A03-T3-H03,1,0,2
P0368,A03-T2-H02,2,0,2
P0369,A02-T3-H02,4,0,1
P0370,A01-T2-H01,3,1,2
P0371,A01-T1-H02,7,0,1
P0372,A03-T2-H02,8,2,3
P0373,A02-T2-H04,7,1,2
P0374,A01-T1-H03,1,2,3
P0375,A01-T2-H03,3,0,1
P0376,,,,
P0377,,,,
P0378,A02-T2-H02,6,2,3
P0379,A02-T2-H04,2,0,2
P0380,A01-T1-H02,7,3,4
P0381,A03-T2-H01,10,1,2
P0382,A01-T1-H03,5,0,1
P0383,A03-T2-H03,7,2,4
P0384,A03-T3-H01,1,3,4
P0385,A03-T2-H01,4,0,1
P0386,A03-T2-H03,3,0,1
P0387,A02-T3-H01,5,0,2
P0388,A03-T3-H03,5,0,1
P0389,A02-T2-H04,7,1,2
P0390,A02-T2-H01,6,0,2
P0391,A03-T2-H01,2,3,4
P0392,A01-T3-H02,2,1,2
P0393,A01-T2-H02,2,0,1
P0394,A02-T3-H01,1,0,1
P0395,A01-T1-H01,5,0,1
P0396,A03-T2-H03,7,0,1
P0397,A01-T2-H02,2,2,3
P0398,A02-T3-H01,4,1,2
P0399,A03-T3-H02,1,0,1
P0400,A02-T3-H02,6,1,2
P0401,A03-T1-H01,1,0,2
P0402,A01-T2-H01,1,0,1
P0403,A01-T2-H02,8,1,3
P0404,A02-T3-H01,3,0,2
P0405,A03-T3-H03,2,1,3
P0406,A01-T2-H01,4,2,3
P0407,A02-T2-H01,3,3,4
P0408,A01-T3-H02,4,1,2
P0409,A01-T1-H02,3,0,1
P0410,A01-T1-H03,1,0,1
P0411,A01-T3-H01,4,2,3
P0412,A02-T3-H02,1,2,3
P0413,A01-T2-H03,9,2,3
P0414,A02-T3-H01,2,0,1
P0415,A02-T3-H02,4,0,2
P0416,A01-T2-H03,1,1,2
P0417,A01-T2-H01,11,0,2
P0418,,,,
P0419,A01-T2-H03,9,0,2
P0420,A03-T3-H02,1,2,3
P0421,A01-T2-H02,1,0,1
P0422,A02-T2-H04,2,0,2
P0423,A01-T2-H02,11,0,1
P0424,A01-T2-H02,2,2,3
P0425,A03-T2-H02,1,3,4
P0426,A03-T2-H02,9,2,3
P0427,,,,
P0428,A02-T1-H01,1,0,3
P0429,A02-T3-H01,3,2,3
P0430,A03-T2-H03,5,0,1
P0431,A01-T1-H03,4,2,5
P0432,A02-T2-H04,6,3,4
P0433,A02-T1-H02,5,0,1
P0434,A03-T3-H02,5,1,2
P0435,A03-T2-H03,9,0,1
P0436,A01-T2-H02,10,0,1
P0437,A01-T2-H01,7,1,2
P0438,A02-T3-H02,4,0,2
P0439,A01-T2-H02,6,1,2
P0440,A01-T2-H02,1,0,1
P0441,A01-T3-H01,4,2,3
P0442,A03-T2-H03,6,0,2
P0443,A03-T2-H01,6,3,4
P0444,A01-T2-H01,2,1,3
P0445,A01-T1-H03,2,0,1
P0446,A03-T2-H03,4,0,2
P0447,A01-T2-H01,5,1,2
P0448,A02-T1-H02,3,0,1
P0449,A02-T1-H02,2,0,1
P0450,A02-T3-H02,3,0,1
P0451,A02-T3-H01,3,0,2
P0452,A02-T2-H04,3,2,4
P0453,A01-T3-H01,4,0,1
P0454,A01-T2-H02,9,0,2
P0455,A03-T2-H03,2,0,2
P0456,A02-T3-H02,6,0,2
P0457,A03-T3-H03,4,2,4
P0458,A01-T2-H02,10,0,1
P0459,A03-T3-H02,4,0,2
P0460,A02-T3-H02,7,0,1
P0461,A03-T2-H01,9,1,2
P0462,A03-T2-H03,4,0,2
P0463,A01-T2-H01,2,2,3
P0464,A01-T3-H01,9,1,3
P0465,A03-T2-H02,8,0,2
P0466,A03-T2-H02,5,2,3
P0467,A03-T3-H01,5,0,1
P0468,A02-T2-H02,8,2,3
P0469,A03-T2-H01,5,2,4
P0470,A01-T2-H03,4,0,1
P0471,A03-T2-H01,4,3,4
P0472,A02-T2-H01,1,0,1
P0473,A03-T2-H01,10,1,2
P0474,A01-T2-H03,5,2,3
P0475,,,,
P0476,A01-T2-H01,10,0,1
P0477,A03-T2-H01,1,2,3
P0478,A03-T2-H01,6,3,4
P0479,A01-T1-H01,3,0,1
P0480,A01-T3-H01,1,0,2
P0481,A01-T2-H01,8,2,3
P0482,A01-T2-H02,11,0,1
P0483,A03-T2-H02,4,2,3
P0484,A01-T1-H02,3,0,1
P0485,A02-T2-H02,10,2,3
P0486,A01-T2-H03,7,1,2
P0487,A02-T2-H04,2,2,4
P0488,,,,
P0489,A01-T3-H02,9,1,2
P0490,,,,
P0491,A01-T2-H02,3,3,4
P0492,A02-T2-H02,5,0,1
P0493,A02-T2-H02,1,0,1
P0494,A03-T2-H01,4,2,3
P0495,A03-T3-H02,3,3,4
P0496,A03-T3-H02,4,0,1
P0497,A03-T2-H02,2,3,4
P0498,A01-T2-H02,1,1,2
P0499,A02-T2-H01,4,0,3
P0500,A01-T2-H02,4,3,4
P0501,A02-T3-H02,2,0,1
P0502,A03-T2-H02,1,0,2
P0503,A03-T3-H02,2,2,4
P0504,A02-T2-H01,5,2,4
P0505,A01-T3-H02,8,0,2
P0506,A01-T2-H03,9,2,3
P0507,A03-T2-H03,7,2,4
P0508,A01-T3-H02,9,2,3
P0509,A03-T3-H01,1,1,2
P0510,A01-T3-H02,3,0,1
P0511,A02-T2-H04,3,0,2
P0512,A01-T1-H03,5,0,2
P0513,A01-T1-H02,3,0,1
P0514,A03-T2-H03,6,1,4
P0515,A01-T2-H01,7,2,3
P0516,A03-T2-H02,9,2,3
P0517,A03-T2-H01,4,2,4
P0518,A01-T2-H02,2,1,3
P0519,A03-T2-H01,1,0,2
P0520,A03-T2-H02,1,0,1
P0521,A02-T3-H01,2,0,1
P0522,A01-T3-H02,6,0,1
P0523,A03-T2-H01,6,3,4
P0524,A01-T3-H01,9,2,3
P0525,A01-T1-H01,4,0,2
P0526,A03-T3-H01,4,2,3
P0527,A01-T3-H02,2,1,2
P0528,A01-T2-H01,6,0,2
P0529,A02-T2-H03,5,2,3
P0530,A03-T2-H01,9,0,1
P0531,A02-T3-H02,7,1,2
P0532,A02-T2-H03,8,2,3
P0533,A01-T3-H02,4,1,2
P0534,A01-T2-H01,8,2,3
P0535,A01-T1-H03,3,0,1
P0536,A03-T3-H01,5,1,2
P0537,A01-T3-H02,4,0,1
P0538,A01-T2-H03,1,1,2
P0539,A02-T3-H02,1,2,3
P0540,A03-T3-H03,2,0,1
P0541,A03-T2-H02,1,0,2
P0542,A02-T2-H02,9,0,3
P0543,A02-T2-H01,2,1,3
P0544,A02-T2-H03,7,2,3
P0545,A02-T2-H03,7,2,3
P0546,A02-T2-H01,6,0,2
P0547,A03-T2-H01,7,0,2
P0548,A01-T3-H01,8,2,3
P0549,A03-T2-H01,10,1,2
P0550,A02-T3-H02,2,0,1
P0551,A01-T2-H03,4,2,3
P0552,A02-T3-H02,4,0,1
P0553,A02-T3-H01,6,1,2
P0554,A02-T2-H02,5,1,2
P0555,A02-T1-H02,2,1,3
P0556,A03-T2-H01,6,1,2
P0557,A03-T2-H03,4,3,4
P0558,A03-T2-H03,3,0,1
P0559,A01-T1-H02,2,0,2
P0560,A01-T2-H01,7,1,2
P0561,A01-T3-H02,3,0,1
P0562,A01-T3-H02,8,0,1
P0563,A02-T1-H01,1,4,5
P0564,A01-T1-H02,6,2,4
P0565,A02-T1-H01,1,0,3
P0566,A03-T2-H03,7,0,1
P0567,A03-T3-H03,2,0,1
P0568,A03-T2-H02,2,0,3
P0569,A03-T2-H03,4,1,2
P0570,A01-T3-H01,7,0,1
P0571,A02-T2-H04,3,3,4
P0572,A02-T2-H02,1,0,1
P0573,A03-T2-H02,4,0,1
P0574,A02-T2-H04,3,0,2
P0575,A01-T2-H03,11,0,1
P0576,A02-T3-H02,6,1,2
P0577,A01-T1-H03,5,2,5
P0578,A01-T3-H02,9,1,2
P0579,A03-T3-H01,1,3,4
P0580,A02-T3-H01,5,0,2
P0581,A01-T3-H02,4,1,2
P0582,A03-T2-H01,5,0,2
P0583,A01-T2-H03,3,0,1
P0584,A01-T3-H02,7,0,1
P0585,A02-T2-H01,1,1,2
P0586,A01-T1-H03,4,2,5
P0587,A01-T1-H02,5,3,5
P0588,A03-T2-H02,1,0,1
P0589,A01-T2-H02,1,1,2
P0590,A03-T3-H02,3,3,4
P0591,A02-T2-H03,1,3,4
P0592,,,,
P0593,A03-T2-H01,4,2,3
P0594,A01-T2-H03,10,2,3
P0595,A01-T1-H03,3,2,3
P0596,A02-T1-H02,2,1,3
P0597,A02-T2-H03,1,3,4
P0598,A01-T2-H02,11,0,2
P0599,A02-T3-H01,5,0,2
P0600,A01-T2-H02,8,0,1
P0601,A03-T2-H02,1,0,1
P0602,A01-T1-H03,5,0,2
P0603,A03-T2-H02,9,2,3
P0604,A01-T3-H01,2,1,2
P0605,A01-T1-H02,3,0,1
P0606,A01-T2-H02,5,1,2
P0607,A01-T2-H03,11,0,1
P0608,A01-T3-H02,6,2,3
P0609,A03-T3-H03,5,1,2
P0610,A02-T2-H01,5,0,2
P0611,A02-T2-H04,4,0,2
P0612,A01-T2-H02,1,0,1
P0613,A01-T2-H03,6,0,1
P0614,A01-T3-H01,7,1,2
P0615,A02-T2-H01,2,1,3
P0616,A02-T2-H04,2,0,2
P0617,A03-T3-H03,3,0,1
P0618,A02-T2-H04,2,0,2
P0619,A01-T3-H02,3,0,1
P0620,A02-T3-H01,2,0,1
P0621,A01-T3-H02,1,2,3
P0622,A01-T2-H03,1,0,1
P0623,A01-T3-H02,9,1,2
P0624,A03-T3-H02,3,3,4
P0625,A01-T2-H02,11,2,3
P0626,A01-T2-H02,1,1,2
P0627,A02-T2-H03,1,3,4
P0628,A02-T2-H02,7,0,1
P0629,A02-T3-H01,2,2,3
P0630,A01-T1-H01,4,2,3
P0631,A01-T1-H01,5,0,1
P0632,A01-T3-H01,8,0,1
P0633,A01-T2-H01,9,2,3
P0634,A01-T2-H02,8,0,1
P0635,A02-T3-H02,1,0,1
P0636,A01-T2-H01,2,2,3
P0637,A01-T1-H02,3,0,1
P0638,A03-T3-H03,3,0,1
P0639,A02-T3-H01,5,2,3
P0640,,,,
P0641,A01-T3-H02,3,0,1
P0642,A01-T1-H02,6,0,1
P0643,A03-T3-H03,2,0,1
P0644,A01-T3-H02,7,0,1
P0645,A02-T2-H01,5,1,2
P0646,A03-T2-H02,6,2,4
P0647,A01-T2-H02,11,0,1
P0648,A01-T2-H01,11,0,2
P0649,A02-T2-H02,3,2,4
P0650,A01-T2-H02,7,2,3
P0651,A03-T2-H02,8,2,3
P0652,A01-T1-H02,5,0,1
P0653,A03-T3-H02,4,2,3
P0654,A01-T1-H02,2,2,3
P0655,A03-T2-H01,4,0,1
P0656,A02-T3-H01,2,1,3
P0657,A03-T2-H01,1,0,2
P0658,A03-T3-H02,5,1,2
P0659,A01-T3-H01,6,0,1
P0660,A02-T3-H01,5,0,2
P0661,A01-T3-H02,8,0,1
P0662,A02-T2-H01,1,1,2
P0663,A01-T1-H03,3,1,2
P0664,A02-T3-H01,6,1,2
P0665,A02-T3-H01,7,0,2
P0666,A01-T2-H02,10,1,2
P0667,A03-T2-H03,4,2,4
P0668,A01-T3-H02,3,1,2
P0669,A03-T2-H03,3,2,3
P0670,A01-T2-H03,3,1,3
P0671,A03-T3-H03,2,2,3
P0672,A01-T2-H03,9,0,2
P0673,A03-T2-H03,5,0,1
P0674,A02-T3-H01,3,2,3
P0675,A02-T2-H01,4,1,2
P0676,A03-T2-H01,3,3,4
P0677,A02-T3-H01,7,0,2
P0678,A01-T3-H01,2,1,2
P0679,A01-T1-H01,1,3,4
P0680,A01-T2-H01,11,0,1
P0681,A03-T2-H03,1,2,3
P0682,A01-T3-H02,3,0,1
P0683,A03-T2-H03,6,3,4
P0684,A01-T3-H02,1,1,3
P0685,,,,
P0686,A02-T2-H02,3,2,4
P0687,A01-T3-H01,1,0,2
P0688,A03-T2-H01,9,1,2
P0689,A03-T1-H01,1,0,2
P0690,A01-T2-H03,5,3,4
P0691,A02-T1-H02,5,2,3
P0692,A02-T2-H02,10,2,3
P0693,A02-T2-H01,2,0,1
P0694,,,,
P0695,A01-T2-H02,10,1,2
P0696,A02-T3-H01,6,0,1
P0697,A02-T2-H04,3,0,2
P0698,A01-T3-H01,3,0,1
P0699,,,,
P0700,A01-T1-H02,2,0,2
P0701,A01-T1-H03,3,1,2
P0702,A01-T3-H02,2,1,2
P0703,A01-T1-H03,4,0,1
P0704,A03-T2-H03,7,0,1
P0705,A01-T2-H02,3,1,2
P0706,A02-T3-H01,2,1,3
P0707,A01-T1-H02,2,0,1
P0708,A02-T1-H02,1,1,3
P0709,A03-T2-H03,9,0,1
P0710,A01-T3-H02,6,1,2
P0711,,,,
P0712,A02-T2-H02,3,1,4
P0713,A01-T2-H01,5,1,2
P0714,A03-T2-H03,1,0,1
P0715,A01-T2-H02,5,0,1
P0716,A03-T2-H01,7,2,4
P0717,A01-T2-H02,2,1,3
P0718,A01-T2-H02,2,0,1
P0719,A02-T2-H04,4,2,3
P0720,A01-T1-H01,5,1,3
P0721,A03-T2-H02,2,0,1
P0722,A01-T2-H03,9,2,3
P0723,A01-T1-H03,2,4,5
P0724,A02-T2-H02,5,1,2
P0725,A02-T2-H01,1,1,4
P0726,,,,
P0727,A01-T2-H03,5,3,4
P0728,A03-T2-H01,5,0,2
P0729,A02-T2-H04,1,0,1
P0730,A03-T2-H03,7,4,5
P0731,A01-T2-H03,10,0,1
P0732,A01-T3-H02,8,1,2
P0733,A03-T2-H01,10,1,2
P0734,A01-T2-H03,9,2,3
P0735,A01-T2-H02,3,0,1
P0736,A01-T2-H01,10,2,3
P0737,A01-T2-H03,7,1,2
P0738,,,,
P0739,A02-T3-H01,1,1,2
P0740,A01-T3-H02,9,1,2
P0741,A03-T2-H02,7,0,2
P0742,A01-T1-H03,5,2,5
P0743,A02-T3-H01,3,0,2
P0744,A02-T3-H01,5,0,2
P0745,A01-T1-H02,6,3,4
P0746,A01-T1-H02,4,0,1
P0747,A01-T3-H01,1,0,2
