aircraft_id,flight_no,stop_order,facility_id,arrival_time,departure_time,refuel
A01-T1-H02,6,0,A01,,2026-08-08 07:30,0
A01-T1-H02,6,1,F010,2026-08-08 08:22,2026-08-08 08:32,0
A01-T1-H02,6,2,F006,2026-08-08 08:39,2026-08-08 08:59,1
A01-T1-H02,6,3,F007,2026-08-08 09:03,2026-08-08 09:13,0
A01-T1-H02,6,4,A01,2026-08-08 10:09,,0
A01-T1-H02,7,0,A01,,2026-08-09 09:11,0
A01-T1-H02,7,1,F018,2026-08-09 09:59,2026-08-09 10:19,1
A01-T1-H02,7,2,F005,2026-08-09 10:24,2026-08-09 10:34,0
A01-T1-H02,7,3,F015,2026-08-09 10:40,2026-08-09 10:50,0
A01-T1-H02,7,4,A01,2026-08-09 11:36,,0
A01-T1-H03,1,0,A01,,2026-08-05 08:23,0
A01-T1-H03,1,1,F024,2026-08-05 09:14,2026-08-05 09:34,1
A01-T1-H03,1,2,F029,2026-08-05 09:38,2026-08-05 09:48,0
A01-T1-H03,1,3,A01,2026-08-05 10:39,,0
A01-T1-H03,2,0,A01,,2026-08-05 14:20,0
A01-T1-H03,2,1,F018,2026-08-05 15:08,2026-08-05 15:28,1
A01-T1-H03,2,2,F001,2026-08-05 15:37,2026-08-05 15:47,0
A01-T1-H03,2,3,F024,2026-08-05 15:59,2026-08-05 16:19,1
A01-T1-H03,2,4,F027,2026-08-05 16:24,2026-08-05 16:34,0
A01-T1-H03,2,5,A01,2026-08-05 17:20,,0
A01-T1-H03,3,0,A01,,2026-08-06 06:24,0
A01-T1-H03,3,1,F011,2026-08-06 07:13,2026-08-06 07:33,1
A01-T1-H03,3,2,F015,2026-08-06 07:41,2026-08-06 07:51,0
A01-T1-H03,3,3,A01,2026-08-06 08:37,,0
A01-T1-H03,4,0,A01,,2026-08-06 09:41,0
A01-T1-H03,4,1,F018,2026-08-06 10:29,2026-08-06 10:49,1
A01-T1-H03,4,2,F001,2026-08-06 10:58,2026-08-06 11:08,0
A01-T1-H03,4,3,F018,2026-08-06 11:17,2026-08-06 11:37,1
A01-T1-H03,4,4,F005,2026-08-06 11:42,2026-08-06 11:52,0
A01-T1-H03,4,5,A01,2026-08-06 12:38,,0
A01-T1-H03,5,0,A01,,2026-08-07 08:47,0
A01-T1-H03,5,1,F018,2026-08-07 09:35,2026-08-07 09:55,1
A01-T1-H03,5,2,F001,2026-08-07 10:04,2026-08-07 10:14,0
A01-T1-H03,5,3,F018,2026-08-07 10:23,2026-08-07 10:43,1
A01-T1-H03,5,4,F005,2026-08-07 10:48,2026-08-07 10:58,0
A01-T1-H03,5,5,A01,2026-08-07 11:44,,0
A01-T1-H03,6,0,A01,,2026-08-08 08:59,0
A01-T1-H03,6,1,F027,2026-08-08 09:45,2026-08-08 09:55,0
A01-T1-H03,6,2,F024,2026-08-08 10:00,2026-08-08 10:20,1
A01-T1-H03,6,3,F029,2026-08-08 10:24,2026-08-08 10:34,0
A01-T1-H03,6,4,A01,2026-08-08 11:25,,0
A01-T2-H01,1,0,A01,,2026-08-03 06:48,0
A01-T2-H01,1,1,F001,2026-08-03 07:48,2026-08-03 07:58,0
A01-T2-H01,1,2,F018,2026-08-03 08:08,2026-08-03 08:28,1
A01-T2-H01,1,3,A01,2026-08-03 09:22,,0
A01-T2-H01,2,0,A01,,2026-08-04 09:16,0
A01-T2-H01,2,1,F010,2026-08-04 10:15,2026-08-04 10:25,0
A01-T2-H01,2,2,F011,2026-08-04 10:38,2026-08-04 10:58,1
A01-T2-H01,2,3,A01,2026-08-04 11:53,,0
A01-T2-H01,3,0,A01,,2026-08-05 07:22,0
A01-T2-H01,3,1,F014,2026-08-05 08:07,2026-08-05 08:17,0
A01-T2-H01,3,2,A01,2026-08-05 09:02,,0
A01-T2-H01,4,0,A01,,2026-08-05 09:58,0
A01-T2-H01,4,1,F017,2026-08-05 10:40,2026-08-05 10:50,0
A01-T2-H01,4,2,F030,2026-08-05 10:57,2026-08-05 11:07,0
A01-T2-H01,4,3,A01,2026-08-05 11:51,,0
A01-T2-H01,5,0,A01,,2026-08-06 08:38,0
A01-T2-H01,5,1,F022,2026-08-06 09:31,2026-08-06 09:41,0
A01-T2-H01,5,2,A01,2026-08-06 10:34,,0
A01-T2-H01,6,0,A01,,2026-08-07 07:12,0
A01-T2-H01,6,1,F011,2026-08-07 08:07,2026-08-07 08:27,1
A01-T2-H01,6,2,F003,2026-08-07 08:41,2026-08-07 08:51,0
A01-T2-H01,6,3,F004,2026-08-07 08:57,2026-08-07 09:07,0
A01-T2-H01,6,4,A01,2026-08-07 10:01,,0
A01-T2-H01,7,0,A01,,2026-08-07 10:31,0
A01-T2-H01,7,1,F016,2026-08-07 11:21,2026-08-07 11:31,0
A01-T2-H01,7,2,F005,2026-08-07 11:38,2026-08-07 11:48,0
A01-T2-H01,7,3,A01,2026-08-07 12:40,,0
A01-T2-H01,8,0,A01,,2026-08-08 06:26,0
A01-T2-H01,8,1,F024,2026-08-08 07:24,2026-08-08 07:44,1
A01-T2-H01,8,2,F034,2026-08-08 07:55,2026-08-08 08:05,0
A01-T2-H01,8,3,A01,2026-08-08 09:13,,0
A01-T2-H01,9,0,A01,,2026-08-08 09:43,0
A01-T2-H01,9,1,F014,2026-08-08 10:28,2026-08-08 10:38,0
A01-T2-H01,9,2,F009,2026-08-08 10:45,2026-08-08 10:55,0
A01-T2-H01,9,3,A01,2026-08-08 11:41,,0
A01-T2-H01,10,0,A01,,2026-08-09 08:53,0
A01-T2-H01,10,1,F015,2026-08-09 09:46,2026-08-09 09:56,0
A01-T2-H01,10,2,F014,2026-08-09 10:04,2026-08-09 10:14,0
A01-T2-H01,10,3,A01,2026-08-09 10:59,,0
A01-T2-H01,11,0,A01,,2026-08-09 11:29,0
A01-T2-H01,11,1,F002,2026-08-09 12:29,2026-08-09 12:39,0
A01-T2-H01,11,2,F013,2026-08-09 12:58,2026-08-09 13:08,0
A01-T2-H01,11,3,F006,2026-08-09 13:21,2026-08-09 13:41,1
A01-T2-H01,11,4,A01,2026-08-09 14:46,,0
A01-T2-H02,1,0,A01,,2026-08-03 07:10,0
A01-T2-H02,1,1,F020,2026-08-03 07:57,2026-08-03 08:07,0
A01-T2-H02,1,2,A01,2026-08-03 08:54,,0
A01-T2-H02,2,0,A01,,2026-08-03 09:32,0
A01-T2-H02,2,1,F006,2026-08-03 10:37,2026-08-03 10:57,1
A01-T2-H02,2,2,F010,2026-08-03 11:05,2026-08-03 11:15,0
A01-T2-H02,2,3,A01,2026-08-03 12:14,,0
A01-T2-H02,3,0,A01,,2026-08-04 09:43,0
A01-T2-H02,3,1,F003,2026-08-04 10:36,2026-08-04 10:46,0
A01-T2-H02,3,2,F008,2026-08-04 10:57,2026-08-04 11:07,0
A01-T2-H02,3,3,F011,2026-08-04 11:16,2026-08-04 11:36,1
A01-T2-H02,3,4,A01,2026-08-04 12:31,,0
A01-T2-H02,4,0,A01,,2026-08-05 10:30,0
A01-T2-H02,4,1,F045,2026-08-05 11:49,2026-08-05 11:59,0
A01-T2-H02,4,2,F038,2026-08-05 12:08,2026-08-05 12:28,1
A01-T2-H02,4,3,F048,2026-08-05 12:33,2026-08-05 12:43,0
A01-T2-H02,4,4,A01,2026-08-05 13:57,,0
A01-T2-H02,5,0,A01,,2026-08-06 09:39,0
A01-T2-H02,5,1,F017,2026-08-06 10:21,2026-08-06 10:31,0
A01-T2-H02,5,2,F014,2026-08-06 10:42,2026-08-06 10:52,0
A01-T2-H02,5,3,A01,2026-08-06 11:37,,0
A01-T2-H02,6,0,A01,,2026-08-07 07:00,0
A01-T2-H02,6,1,F006,2026-08-07 08:05,2026-08-07 08:25,1
A01-T2-H02,6,2,F013,2026-08-07 08:38,2026-08-07 08:48,0
A01-T2-H02,6,3,F002,2026-08-07 09:07,2026-08-07 09:17,0
A01-T2-H02,6,4,A01,2026-08-07 10:17,,0
A01-T2-H02,7,0,A01,,2026-08-07 10:47,0
A01-T2-H02,7,1,F028,2026-08-07 11:47,2026-08-07 11:57,0
A01-T2-H02,7,2,F018,2026-08-07 12:15,2026-08-07 12:35,1
A01-T2-H02,7,3,A01,2026-08-07 13:29,,0
A01-T2-H02,8,0,A01,,2026-08-08 08:41,0
A01-T2-H02,8,1,F011,2026-08-08 09:36,2026-08-08 09:56,1
A01-T2-H02,8,2,F008,2026-08-08 10:05,2026-08-08 10:15,0
A01-T2-H02,8,3,F010,2026-08-08 10:21,2026-08-08 10:31,0
A01-T2-H02,8,4,A01,2026-08-08 11:30,,0
A01-T2-H02,9,0,A01,,2026-08-09 07:52,0
A01-T2-H02,9,1,F020,2026-08-09 08:39,2026-08-09 08:49,0
A01-T2-H02,9,2,A01,2026-08-09 09:36,,0
A01-T2-H02,10,0,A01,,2026-08-09 10:11,0
A01-T2-H02,10,1,F016,2026-08-09 11:01,2026-08-09 11:11,0
A01-T2-H02,10,2,F017,2026-08-09 11:19,2026-08-09 11:29,0
A01-T2-H02,10,3,A01,2026-08-09 12:11,,0
A01-T2-H03,1,0,A01,,2026-08-03 08:48,0
A01-T2-H03,1,1,F005,2026-08-03 09:40,2026-08-03 09:50,0
A01-T2-H03,1,2,A01,2026-08-03 10:42,,0
A01-T2-H03,2,0,A01,,2026-08-04 07:53,0
A01-T2-H03,2,1,F009,2026-08-04 08:39,2026-08-04 08:49,0
A01-T2-H03,2,2,F014,2026-08-04 08:56,2026-08-04 09:06,0
A01-T2-H03,2,3,A01,2026-08-04 09:51,,0
A01-T2-H03,3,0,A01,,2026-08-05 06:44,0
A01-T2-H03,3,1,F010,2026-08-05 07:43,2026-08-05 07:53,0
A01-T2-H03,3,2,F006,2026-08-05 08:01,2026-08-05 08:21,1
A01-T2-H03,3,3,F007,2026-08-05 08:25,2026-08-05 08:35,0
A01-T2-H03,3,4,A01,2026-08-05 09:39,,0
A01-T2-H03,4,0,A01,,2026-08-05 10:15,0
A01-T2-H03,4,1,F031,2026-08-05 11:22,2026-08-05 11:42,1
A01-T2-H03,4,2,F046,2026-08-05 11:52,2026-08-05 12:02,0
A01-T2-H03,4,3,A01,2026-08-05 13:07,,0
A01-T2-H03,5,0,A01,,2026-08-06 07:10,0
A01-T2-H03,5,1,F006,2026-08-06 08:15,2026-08-06 08:35,1
A01-T2-H03,5,2,F007,2026-08-06 08:39,2026-08-06 08:49,0
A01-T2-H03,5,3,F002,2026-08-06 08:58,2026-08-06 09:08,0
A01-T2-H03,5,4,A01,2026-08-06 10:08,,0
A01-T2-H03,6,0,A01,,2026-08-06 14:34,0
A01-T2-H03,6,1,F016,2026-08-06 15:24,2026-08-06 15:34,0
A01-T2-H03,6,2,F005,2026-08-06 15:41,2026-08-06 15:51,0
A01-T2-H03,6,3,A01,2026-08-06 16:43,,0
A01-T2-H03,7,0,A01,,2026-08-07 07:50,0
A01-T2-H03,7,1,F017,2026-08-07 08:32,2026-08-07 08:42,0
A01-T2-H03,7,2,F014,2026-08-07 08:53,2026-08-07 09:03,0
A01-T2-H03,7,3,A01,2026-08-07 09:48,,0
A01-T2-H03,8,0,A01,,2026-08-07 10:18,0
A01-T2-H03,8,1,F014,2026-08-07 11:03,2026-08-07 11:13,0
A01-T2-H03,8,2,F017,2026-08-07 11:24,2026-08-07 11:34,0
A01-T2-H03,8,3,A01,2026-08-07 12:16,,0
A01-T2-H03,9,0,A01,,2026-08-08 08:05,0
A01-T2-H03,9,1,F006,2026-08-08 09:10,2026-08-08 09:30,1
A01-T2-H03,9,2,F013,2026-08-08 09:43,2026-08-08 09:53,0
A01-T2-H03,9,3,A01,2026-08-08 11:10,,0
A01-T2-H03,10,0,A01,,2026-08-09 08:43,0
A01-T2-H03,10,1,F001,2026-08-09 09:43,2026-08-09 09:53,0
A01-T2-H03,10,2,F018,2026-08-09 10:03,2026-08-09 10:23,1
A01-T2-H03,10,3,F005,2026-08-09 10:28,2026-08-09 10:38,0
A01-T2-H03,10,4,A01,2026-08-09 11:30,,0
A01-T3-H01,1,0,A01,,2026-08-03 07:36,0
A01-T3-H01,1,1,F004,2026-08-03 08:39,2026-08-03 08:49,0
A01-T3-H01,1,2,F007,2026-08-03 09:01,2026-08-03 09:11,0
A01-T3-H01,1,3,A01,2026-08-03 10:25,,0
A01-T3-H01,2,0,A01,,2026-08-03 10:55,0
A01-T3-H01,2,1,F001,2026-08-03 12:05,2026-08-03 12:15,0
A01-T3-H01,2,2,F016,2026-08-03 12:28,2026-08-03 12:38,0
A01-T3-H01,2,3,A01,2026-08-03 13:36,,0
A01-T3-H01,3,0,A01,,2026-08-04 07:17,0
A01-T3-H01,3,1,F008,2026-08-04 08:27,2026-08-04 08:37,0
A01-T3-H01,3,2,A01,2026-08-04 09:47,,0
A01-T3-H01,4,0,A01,,2026-08-05 06:47,0
A01-T3-H01,4,1,F013,2026-08-05 08:16,2026-08-05 08:26,0
A01-T3-H01,4,2,F006,2026-08-05 08:41,2026-08-05 09:01,1
A01-T3-H01,4,3,A01,2026-08-05 10:16,,0
A01-T3-H01,5,0,A01,,2026-08-05 10:58,0
A01-T3-H01,5,1,F008,2026-08-05 12:08,2026-08-05 12:18,0
A01-T3-H01,5,2,F003,2026-08-05 12:30,2026-08-05 12:40,0
A01-T3-H01,5,3,A01,2026-08-05 13:41,,0
A01-T3-H01,6,0,A01,,2026-08-06 07:55,0
A01-T3-H01,6,1,F002,2026-08-06 09:04,2026-08-06 09:14,0
A01-T3-H01,6,2,F004,2026-08-06 09:25,2026-08-06 09:35,0
A01-T3-H01,6,3,A01,2026-08-06 10:38,,0
A01-T3-H01,7,0,A01,,2026-08-07 09:36,0
A01-T3-H01,7,1,F015,2026-08-07 10:37,2026-08-07 10:47,0
A01-T3-H01,7,2,F009,2026-08-07 10:59,2026-08-07 11:09,0
A01-T3-H01,7,3,A01,2026-08-07 12:02,,0
A01-T3-H01,8,0,A01,,2026-08-08 07:25,0
A01-T3-H01,8,1,F004,2026-08-08 08:28,2026-08-08 08:38,0
A01-T3-H01,8,2,F002,2026-08-08 08:49,2026-08-08 08:59,0
A01-T3-H01,8,3,A01,2026-08-08 10:08,,0
A01-T3-H01,9,0,A01,,2026-08-09 06:53,0
A01-T3-H01,9,1,F001,2026-08-09 08:03,2026-08-09 08:13,0
A01-T3-H01,9,2,F016,2026-08-09 08:26,2026-08-09 08:36,0
A01-T3-H01,9,3,A01,2026-08-09 09:34,,0
A01-T3-H02,1,0,A01,,2026-08-03 08:18,0
A01-T3-H02,1,1,F002,2026-08-03 09:27,2026-08-03 09:37,0
A01-T3-H02,1,2,F004,2026-08-03 09:48,2026-08-03 09:58,0
A01-T3-H02,1,3,A01,2026-08-03 11:01,,0
A01-T3-H02,2,0,A01,,2026-08-04 06:57,0
A01-T3-H02,2,1,F004,2026-08-04 08:00,2026-08-04 08:10,0
A01-T3-H02,2,2,F007,2026-08-04 08:22,2026-08-04 08:32,0
A01-T3-H02,2,3,A01,2026-08-04 09:46,,0
A01-T3-H02,3,0,A01,,2026-08-04 10:25,0
A01-T3-H02,3,1,F012,2026-08-04 11:31,2026-08-04 11:41,0
A01-T3-H02,3,2,A01,2026-08-04 12:47,,0
A01-T3-H02,4,0,A01,,2026-08-04 15:42,0
A01-T3-H02,4,1,F025,2026-08-04 16:46,2026-08-04 16:56,0
A01-T3-H02,4,2,A01,2026-08-04 18:00,,0
A01-T3-H02,5,0,A01,,2026-08-05 06:00,0
A01-T3-H02,5,1,F002,2026-08-05 07:09,2026-08-05 07:19,0
A01-T3-H02,5,2,F004,2026-08-05 07:30,2026-08-05 07:40,0
A01-T3-H02,5,3,A01,2026-08-05 08:43,,0
A01-T3-H02,6,0,A01,,2026-08-06 07:20,0
A01-T3-H02,6,1,F026,2026-08-06 08:25,2026-08-06 08:35,0
A01-T3-H02,6,2,F033,2026-08-06 08:47,2026-08-06 08:57,0
A01-T3-H02,6,3,A01,2026-08-06 10:09,,0
A01-T3-H02,7,0,A01,,2026-08-07 07:14,0
A01-T3-H02,7,1,F012,2026-08-07 08:20,2026-08-07 08:30,0
A01-T3-H02,7,2,F015,2026-08-07 08:41,2026-08-07 08:51,0
A01-T3-H02,7,3,A01,2026-08-07 09:52,,0
A01-T3-H02,8,0,A01,,2026-08-08 15:11,0
A01-T3-H02,8,1,F030,2026-08-08 16:01,2026-08-08 16:11,0
A01-T3-H02,8,2,F026,2026-08-08 16:30,2026-08-08 16:40,0
A01-T3-H02,8,3,A01,2026-08-08 17:45,,0
A01-T3-H02,9,0,A01,,2026-08-09 08:08,0
A01-T3-H02,9,1,F003,2026-08-09 09:09,2026-08-09 09:19,0
A01-T3-H02,9,2,F007,2026-08-09 09:35,2026-08-09 09:45,0
A01-T3-H02,9,3,A01,2026-08-09 10:59,,0
A02-T1-H01,1,0,A02,,2026-08-06 08:52,0
A02-T1-H01,1,1,F031,2026-08-06 09:51,2026-08-06 10:11,1
A02-T1-H01,1,2,F023,2026-08-06 10:17,2026-08-06 10:27,0
A02-T1-H01,1,3,F035,2026-08-06 10:37,2026-08-06 10:47,0
A02-T1-H01,1,4,F024,2026-08-06 11:01,2026-08-06 11:21,1
A02-T1-H01,1,5,A02,2026-08-06 12:14,,0
A02-T1-H01,2,0,A02,,2026-08-09 09:11,0
A02-T1-H01,2,1,F018,2026-08-09 10:03,2026-08-09 10:23,1
A02-T1-H01,2,2,F020,2026-08-09 10:32,2026-08-09 10:42,0
A02-T1-H01,2,3,A02,2026-08-09 11:27,,0
A02-T1-H02,1,0,A02,,2026-08-05 07:23,0
A02-T1-H02,1,1,F005,2026-08-05 08:14,2026-08-05 08:24,0
A02-T1-H02,1,2,F018,2026-08-05 08:29,2026-08-05 08:49,1
A02-T1-H02,1,3,F017,2026-08-05 09:00,2026-08-05 09:10,0
A02-T1-H02,1,4,A02,2026-08-05 09:52,,0
A02-T1-H02,2,0,A02,,2026-08-05 10:22,0
A02-T1-H02,2,1,F029,2026-08-05 11:14,2026-08-05 11:24,0
A02-T1-H02,2,2,F024,2026-08-05 11:28,2026-08-05 11:48,1
A02-T1-H02,2,3,A02,2026-08-05 12:41,,0
A02-T1-H02,3,0,A02,,2026-08-06 07:13,0
A02-T1-H02,3,1,F030,2026-08-06 07:57,2026-08-06 08:07,0
A02-T1-H02,3,2,F018,2026-08-06 08:19,2026-08-06 08:39,1
A02-T1-H02,3,3,F026,2026-08-06 08:43,2026-08-06 08:53,0
A02-T1-H02,3,4,A02,2026-08-06 09:47,,0
A02-T1-H02,4,0,A02,,2026-08-07 10:01,0
A02-T1-H02,4,1,F024,2026-08-07 10:54,2026-08-07 11:14,1
A02-T1-H02,4,2,F029,2026-08-07 11:18,2026-08-07 11:28,0
A02-T1-H02,4,3,A02,2026-08-07 12:20,,0
A02-T2-H01,1,0,A02,,2026-08-03 07:56,0
A02-T2-H01,1,1,F018,2026-08-03 08:55,2026-08-03 09:15,1
A02-T2-H01,1,2,F026,2026-08-03 09:19,2026-08-03 09:29,0
A02-T2-H01,1,3,F022,2026-08-03 09:36,2026-08-03 09:46,0
A02-T2-H01,1,4,A02,2026-08-03 10:43,,0
A02-T2-H01,2,0,A02,,2026-08-04 06:17,0
A02-T2-H01,2,1,F023,2026-08-04 07:30,2026-08-04 07:40,0
A02-T2-H01,2,2,F031,2026-08-04 07:47,2026-08-04 08:07,1
A02-T2-H01,2,3,A02,2026-08-04 09:13,,0
A02-T2-H01,3,0,A02,,2026-08-04 10:12,0
A02-T2-H01,3,1,F031,2026-08-04 11:18,2026-08-04 11:38,1
A02-T2-H01,3,2,F023,2026-08-04 11:45,2026-08-04 11:55,0
A02-T2-H01,3,3,F032,2026-08-04 11:59,2026-08-04 12:09,0
A02-T2-H01,3,4,A02,2026-08-04 13:26,,0
A02-T2-H01,4,0,A02,,2026-08-05 07:32,0
A02-T2-H01,4,1,F019,2026-08-05 08:31,2026-08-05 08:41,0
A02-T2-H01,4,2,F033,2026-08-05 08:48,2026-08-05 08:58,0
A02-T2-H01,4,3,F024,2026-08-05 09:09,2026-08-05 09:29,1
A02-T2-H01,4,4,A02,2026-08-05 10:29,,0
A02-T2-H01,5,0,A02,,2026-08-06 08:48,0
A02-T2-H01,5,1,F046,2026-08-06 09:50,2026-08-06 10:00,0
A02-T2-H01,5,2,F047,2026-08-06 10:05,2026-08-06 10:15,0
A02-T2-H01,5,3,F031,2026-08-06 10:22,2026-08-06 10:42,1
A02-T2-H01,5,4,A02,2026-08-06 11:48,,0
A02-T2-H01,6,0,A02,,2026-08-08 06:58,0
A02-T2-H01,6,1,F031,2026-08-08 08:04,2026-08-08 08:24,1
A02-T2-H01,6,2,F032,2026-08-08 08:35,2026-08-08 08:45,0
A02-T2-H01,6,3,F035,2026-08-08 08:55,2026-08-08 09:05,0
A02-T2-H01,6,4,A02,2026-08-08 10:17,,0
A02-T2-H01,7,0,A02,,2026-08-09 08:02,0
A02-T2-H01,7,1,F002,2026-08-09 09:11,2026-08-09 09:21,0
A02-T2-H01,7,2,F006,2026-08-09 09:33,2026-08-09 09:53,1
A02-T2-H01,7,3,F003,2026-08-09 10:06,2026-08-09 10:16,0
A02-T2-H01,7,4,A02,2026-08-09 11:17,,0
A02-T2-H02,1,0,A02,,2026-08-03 09:07,0
A02-T2-H02,1,1,F019,2026-08-03 10:06,2026-08-03 10:16,0
A02-T2-H02,1,2,F033,2026-08-03 10:23,2026-08-03 10:33,0
A02-T2-H02,1,3,F024,2026-08-03 10:44,2026-08-03 11:04,1
A02-T2-H02,1,4,A02,2026-08-03 12:04,,0
A02-T2-H02,2,0,A02,,2026-08-04 08:53,0
A02-T2-H02,2,1,F022,2026-08-04 09:50,2026-08-04 10:00,0
A02-T2-H02,2,2,F033,2026-08-04 10:09,2026-08-04 10:19,0
A02-T2-H02,2,3,F024,2026-08-04 10:30,2026-08-04 10:50,1
A02-T2-H02,2,4,A02,2026-08-04 11:50,,0
A02-T2-H02,3,0,A02,,2026-08-05 07:17,0
A02-T2-H02,3,1,F049,2026-08-05 08:23,2026-08-05 08:33,0
A02-T2-H02,3,2,F047,2026-08-05 08:39,2026-08-05 08:49,0
A02-T2-H02,3,3,F031,2026-08-05 08:56,2026-08-05 09:16,1
A02-T2-H02,3,4,A02,2026-08-05 10:22,,0
A02-T2-H02,4,0,A02,,2026-08-05 10:52,0
A02-T2-H02,4,1,F011,2026-08-05 11:55,2026-08-05 12:15,1
A02-T2-H02,4,2,F028,2026-08-05 12:21,2026-08-05 12:31,0
A02-T2-H02,4,3,A02,2026-08-05 13:38,,0
A02-T2-H02,5,0,A02,,2026-08-06 07:04,0
A02-T2-H02,5,1,F020,2026-08-06 07:55,2026-08-06 08:05,0
A02-T2-H02,5,2,A02,2026-08-06 08:56,,0
A02-T2-H02,6,0,A02,,2026-08-07 15:13,0
A02-T2-H02,6,1,F031,2026-08-07 16:19,2026-08-07 16:39,1
A02-T2-H02,6,2,F047,2026-08-07 16:46,2026-08-07 16:56,0
A02-T2-H02,6,3,F049,2026-08-07 17:02,2026-08-07 17:12,0
A02-T2-H02,6,4,A02,2026-08-07 18:18,,0
A02-T2-H02,7,0,A02,,2026-08-08 06:00,0
A02-T2-H02,7,1,F008,2026-08-08 07:09,2026-08-08 07:19,0
A02-T2-H02,7,2,F028,2026-08-08 07:31,2026-08-08 07:41,0
A02-T2-H02,7,3,F011,2026-08-08 07:47,2026-08-08 08:07,1
A02-T2-H02,7,4,A02,2026-08-08 09:10,,0
A02-T2-H02,8,0,A02,,2026-08-08 10:14,0
A02-T2-H02,8,1,F046,2026-08-08 11:16,2026-08-08 11:26,0
A02-T2-H02,8,2,F031,2026-08-08 11:36,2026-08-08 11:56,1
A02-T2-H02,8,3,A02,2026-08-08 13:02,,0
A02-T2-H02,9,0,A02,,2026-08-09 07:11,0
A02-T2-H02,9,1,F002,2026-08-09 08:20,2026-08-09 08:30,0
A02-T2-H02,9,2,F011,2026-08-09 08:57,2026-08-09 09:17,1
A02-T2-H02,9,3,F019,2026-08-09 09:49,2026-08-09 09:59,0
A02-T2-H02,9,4,A02,2026-08-09 10:58,,0
A02-T2-H02,10,0,A02,,2026-08-09 11:28,0
