route_index,aircraft_time,aircraft_type,base_airport,passenger_count,service_sequence,offshore_landing_count,utilization,per_leg_load,min_residual_seats,mean_residual_seats,outbound_passenger_count,inbound_passenger_count,shuttle_passenger_count,land_count,land_fraction,fixed_airport_count
44,165,T3,A02,49,F027|F021,2,0.9871602082128398,19|16|19,0,1,19,19,11,20,0.40816326530612246,29
45,196,T2,A03,35,F039|F052,2,0.6927175843694494,16|14|14|6,0,3.5,16,6,13,17,0.4857142857142857,18
46,266,T2,A03,32,F044|F040|F042,3,0.9765415549597856,16|15|7|16|16,0,2,16,16,0,25,0.78125,7
47,194,T2,A03,32,F044,1,1.0,16|16,0,0,16,16,0,29,0.90625,3
48,263,T3,A03,52,F037|F044,2,1.0,19|19|19,0,0,19,19,14,37,0.7115384615384616,15
49,263,T3,A03,39,F044|F037,2,0.7597692862292718,9|16|19,0,4.333333333333333,9,19,11,28,0.717948717948718,11
50,283,T3,A03,48,F037|F040|F044|F041,4,0.6340989272085823,5|19|17|19|19,0,3.2,5,19,24,18,0.375,30
51,240,T2,A03,47,F040|F044|F041|F045,4,0.9548258345428157,16|11|14|15|15,0,1.8,16,15,16,24,0.5106382978723404,23
52,276,T3,A03,55,F042|F040,2,0.9980112223879537,19|18|19|19,0,0.25,19,19,17,30,0.5454545454545454,25
53,118,T3,A01,37,F020,1,0.9736842105263158,18|19,0,0.5,18,19,0,37,1.0,0
54,151,T3,A01,53,F020|F019,2,1.0,19|19|19,0,0,19,19,15,38,0.7169811320754716,15
55,195,T3,A02,53,F019|F033|F022|F020,4,0.9321904345927058,19|18|6|12|19,0,4.2,19,19,15,22,0.41509433962264153,31
56,182,T2,A03,31,F045|F038,2,0.9213673285198556,16|2|15,0,5,16,15,0,17,0.5483870967741935,14
57,199,T2,A03,32,F038|F043,2,0.9793354943273906,16|12|16,0,1.3333333333333333,16,16,0,26,0.8125,6
58,195,T2,A03,25,F038|F048|F046,3,0.7221852836879432,16|9|1|9,0,7.25,16,9,0,14,0.56,11
59,221,T3,A03,55,F052|F048|F038,3,0.9746173945502054,19|19|3|19,0,4,19,19,17,32,0.5818181818181818,23
60,235,T3,A03,70,F045|F051|F038|F039,4,0.9470016504676325,19|17|15|19|17,0,1.6,19,17,34,28,0.4,42
61,116,T2,A01,32,F022,1,1.0,16|16,0,0,16,16,0,32,1.0,0
62,148,T3,A01,38,F021,1,1.0,19|19,0,0,19,19,0,38,1.0,0
63,162,T3,A02,35,F049,1,0.9210526315789473,19|16,0,1.5,19,16,0,35,1.0,0
64,202,T3,A02,54,F046|F047|F031,3,0.8992865267293971,19|18|0|17,0,5.5,19,17,18,30,0.5555555555555556,24
65,150,T3,A01,38,F001,1,1.0,19|19,0,0,19,19,0,35,0.9210526315789473,3
66,152,T3,A01,36,F005|F012,2,0.9268724696356275,19|10|17,0,3.6666666666666665,19,17,0,25,0.6944444444444444,11
67,168,T3,A01,38,F033|F001,2,0.9653679653679653,19|0|19,0,6.333333333333333,19,19,0,38,1.0,0
68,190,T2,A03,33,F031|F047|F049,3,0.5768253234750462,15|6|16|3,0,6,15,3,15,10,0.30303030303030304,23
69,195,T2,A03,45,F045|F048,2,0.9839857651245552,16|13|13|16,0,1.5,16,16,13,32,0.7111111111111111,13
70,211,T3,A03,53,F039|F048,2,0.9172087522176227,19|19|16|16,0,1.5,19,16,18,31,0.5849056603773585,22
71,229,T3,A03,67,F049|F048|F039,3,0.9263722813294417,18|18|18|18|17,1,1.2,18,17,32,30,0.44776119402985076,37
72,144,T3,A01,38,F029,1,1.0,19|19,0,0,19,19,0,38,1.0,0
73,155,T3,A01,38,F027|F024,2,0.9551010226989274,19|1|19,0,6,19,19,0,38,1.0,0
74,210,T3,A01,44,F006|F010|F007,3,0.935199841709537,19|12|19|17,0,2.25,19,17,8,27,0.6136363636363636,17
75,236,T3,A01,44,F006|F013|F007|F010,4,0.9506352087114338,19|12|19|13|19,0,2.6,19,19,6,32,0.7272727272727273,12
76,236,T3,A01,50,F010|F007|F013|F006,4,0.8843920145190562,18|19|6|9|19,0,4.8,18,19,13,37,0.74,13
77,116,T2,A01,32,F022,1,1.0,16|16,0,0,16,16,0,32,1.0,0
78,165,T3,A01,45,F022|F033,2,0.9325295617899374,16|19|19,0,1,16,19,10,35,0.7777777777777778,10
79,173,T3,A02,38,F033|F019,2,0.9789034172069003,19|11|19,0,2.6666666666666665,19,19,0,16,0.42105263157894735,22
80,179,T2,A02,58,F018|F026|F033,3,1.0,16|16|16|16,0,0,16,16,26,26,0.4482758620689655,32
81,152,T1,A01,31,F021|F024|F027,3,0.9654736080983369,12|12|12|11,0,0.25,12,11,8,23,0.7419354838709677,8
82,177,T3,A01,56,F021|F025|F027,3,0.9727688787185355,19|7|18|19,0,3.25,19,19,18,38,0.6785714285714286,18
83,182,T3,A02,38,F029|F021|F036,3,0.7255163224516988,9|19|7|19,0,5.5,9,19,10,20,0.5263157894736842,18
84,125,T2,A01,38,F005|F017,2,0.887402088772846,13|13|16,0,2,13,16,9,29,0.7631578947368421,9
85,129,T2,A01,45,F016|F005,2,0.9635416666666666,15|14|16,0,1,15,16,14,25,0.5555555555555556,20
86,161,T3,A01,56,F001|F016,2,0.9951068146556868,19|18|19,0,0.3333333333333333,19,19,18,38,0.6785714285714286,18
87,167,T2,A01,21,F001|F018|F005,3,0.358695652173913,5|12|11|5,4,7.75,5,5,11,6,0.2857142857142857,15
88,214,T3,A02,35,F025|F035|F031,3,0.850812693498452,19|15|5|16,0,5.25,19,16,0,26,0.7428571428571429,9
89,219,T3,A01,45,F031|F032|F025,3,0.8503172825681224,19|14|19|12,0,3,19,12,14,31,0.6888888888888889,14
90,219,T3,A02,53,F023|F032,2,1.0,19|19|19|19,0,0,19,19,15,37,0.6981132075471698,16
91,229,T3,A02,54,F048|F031|F021,3,0.87248322147651,19|0|19|19,0,4.75,19,19,16,36,0.6666666666666666,18
92,238,T3,A03,56,F043|F051|F038,3,0.9703628002043945,19|19|14|18,0,1.5,19,18,19,25,0.44642857142857145,31
93,276,T3,A03,38,F050,1,1.0,19|19,0,0,19,19,0,33,0.868421052631579,5
94,288,T2,A03,44,F044|F050|F043,3,0.8141546329723225,13|0|16|16|16,0,3.8,13,16,15,14,0.3181818181818182,30
95,288,T3,A03,35,F050|F042,2,0.9033681614640794,16|12|19,0,3.3333333333333335,16,19,0,20,0.5714285714285714,15
