person_id,aircraft_type,flight_no,pickup_stop_order,delivery_stop_order
P0524,T3,7,2,3
P0525,T3,9,0,2
P0526,T2,10,1,2
P0527,T3,22,1,2
P0528,T2,4,0,3
P0529,T2,18,2,3
P0530,T3,36,0,2
P0531,T3,60,3,5
P0532,T1,2,3,4
P0533,T3,4,1,2
P0534,T3,27,2,3
P0535,T3,12,0,1
P0536,T2,10,3,5
P0537,T3,4,0,1
P0538,T2,1,2,3
P0539,T3,59,2,3
P0540,T3,42,0,1
P0541,T3,36,0,2
P0542,T3,44,0,2
P0543,T3,72,2,3
P0544,T2,9,1,2
P0545,T2,9,1,2
P0546,T2,24,0,2
P0547,T3,19,0,1
P0548,T3,18,1,3
P0549,T3,58,1,2
P0550,T3,71,0,1
P0551,T3,32,3,4
P0552,T3,24,0,2
P0553,T3,4,1,2
P0554,T3,60,4,5
P0555,T3,69,1,2
P0556,T3,76,1,2
P0557,T3,37,3,4
P0558,T3,64,0,2
P0559,T3,23,0,2
P0560,T2,1,1,2
P0561,T3,9,0,2
P0562,T3,20,0,1
P0563,T3,15,2,3
P0564,T2,3,3,4
P0565,T3,29,0,2
P0566,T3,64,0,2
P0567,T3,42,0,1
P0568,T2,5,0,1
P0569,T3,54,1,2
P0570,T3,13,0,1
P0571,T3,48,2,3
P0572,T2,20,0,1
P0573,T3,49,0,1
P0574,T1,1,0,2
P0575,T3,8,0,1
P0576,T3,74,1,2
P0577,T3,8,1,2
P0578,T3,63,1,2
P0579,T3,40,2,3
P0580,T3,21,0,1
P0581,T3,4,1,2
P0582,T3,66,0,2
P0583,T2,12,0,1
P0584,T3,9,0,2
P0585,T3,11,1,2
P0586,T3,8,1,2
P0587,T3,15,2,3
P0588,T3,54,0,1
P0589,T3,2,1,2
P0590,T2,18,2,3
P0591,T3,70,1,3
P0592,T3,31,2,3
P0593,T3,76,2,4
P0594,T3,29,2,3
P0595,T3,14,2,3
P0596,T3,69,1,2
P0597,T1,2,3,4
P0598,T3,45,0,1
P0599,T3,21,0,1
P0600,T3,23,0,2
P0601,T2,18,0,2
P0602,T3,8,0,1
P0603,T3,40,1,2
P0604,T3,16,1,2
P0605,T3,12,0,2
P0606,T2,4,3,4
P0607,T3,8,0,1
P0608,T3,48,2,3
P0609,T3,71,2,3
P0610,T3,19,0,1
P0611,T3,72,0,2
P0612,T3,2,0,1
P0613,T2,1,0,1
P0614,T3,17,1,2
P0615,T3,72,2,3
P0616,T2,24,0,2
P0617,T3,64,0,1
P0618,T2,24,0,2
P0619,T3,14,0,1
P0620,T3,11,0,2
P0621,T3,3,1,2
P0622,T2,1,0,2
P0623,T3,63,1,2
P0624,T2,18,2,3
P0625,T2,2,3,4
P0626,T3,2,1,2
P0627,T3,70,1,3
P0628,T3,62,0,1
P0629,T3,60,3,5
P0630,T3,9,2,3
P0631,T2,12,0,1
P0632,T3,3,0,1
P0633,T3,1,1,2
P0634,T2,7,0,1
P0635,T3,60,0,4
P0636,T3,13,2,3
P0637,T3,13,0,1
P0638,T3,64,0,1
P0639,T3,48,2,3
P0640,T1,2,3,4
P0641,T3,9,0,2
P0642,T2,12,0,1
P0643,T3,42,0,1
P0644,T3,9,0,2
P0645,T3,53,1,2
P0646,T3,36,2,3
P0647,T2,1,0,1
P0648,T2,6,0,2
P0649,T3,19,1,2
P0650,T2,6,2,3
P0651,T2,17,3,4
P0652,T3,22,0,2
P0653,T3,4,1,2
P0654,T2,8,2,3
P0655,T3,49,0,1
P0656,T3,11,2,3
P0657,T3,51,0,2
P0658,T3,37,1,2
P0659,T3,18,0,1
P0660,T3,44,0,1
P0661,T3,20,0,1
P0662,T3,31,1,2
P0663,T3,12,1,2
P0664,T3,4,1,2
P0665,T3,29,0,2
P0666,T3,2,1,2
P0667,T3,36,2,3
P0668,T3,9,2,3
P0669,T3,41,1,2
P0670,T2,12,1,3
P0671,T3,67,1,4
P0672,T2,6,0,2
P0673,T3,50,0,1
P0674,T3,27,2,3
P0675,T3,60,1,2
P0676,T3,37,3,4
P0677,T3,29,0,2
P0678,T3,16,1,2
P0679,T3,63,2,3
P0680,T3,18,0,1
P0681,T3,49,1,2
P0682,T3,9,0,2
P0683,T3,51,2,4
P0684,T3,18,1,3
P0685,T3,25,0,1
P0686,T3,19,1,2
P0687,T3,25,0,1
P0688,T3,54,2,3
P0689,T3,24,0,2
P0690,T3,25,2,3
P0691,T3,69,1,2
P0692,T3,73,2,3
P0693,T3,72,0,2
P0694,T2,2,3,4
P0695,T3,2,1,2
P0696,T3,4,0,1
P0697,T3,11,0,2
P0698,T3,23,0,1
P0699,T3,8,1,2
P0700,T2,7,0,1
P0701,T3,12,1,2
P0702,T3,22,1,2
P0703,T3,7,0,1
P0704,T3,66,0,2
P0705,T2,21,1,2
P0706,T3,20,2,3
P0707,T3,12,0,1
P0708,T2,2,1,3
P0709,T3,24,0,2
P0710,T3,31,2,3
P0711,T3,72,2,3
P0712,T2,16,3,4
P0713,T2,13,1,2
P0714,T3,58,0,1
P0715,T3,63,0,1
P0716,T3,19,1,2
P0717,T2,3,3,4
P0718,T3,47,0,1
P0719,T3,72,2,3
P0720,T3,47,3,4
P0721,T3,49,0,1
P0722,T3,34,2,3
P0723,T2,15,2,3
P0724,T3,2,1,2
P0725,T3,7,1,3
P0726,T3,67,2,4
P0727,T3,25,2,3
P0728,T3,66,0,2
P0729,T2,15,0,1
P0730,T2,18,2,3
P0731,T2,15,0,1
P0732,T3,20,1,2
P0733,T3,58,1,2
P0734,T3,34,2,3
P0735,T3,63,0,1
P0736,T3,43,1,2
P0737,T3,45,1,2
P0738,T2,24,0,2
P0739,T3,70,1,2
P0740,T3,63,1,2
P0741,T2,5,0,1
P0742,T3,8,1,2
P0743,T3,27,0,2
P0744,T3,21,0,1
P0745,T3,63,2,3
P0746,T3,15,0,1
P0747,T3,25,0,1
P0748,T2,22,4,5
P0749,T1,2,1,3
P0750,T2,13,0,1
P0751,T3,15,0,1
P0752,T2,15,2,3
P0753,T3,63,1,2
P0754,T3,71,2,3
P0755,T3,29,0,2
P0756,T3,73,2,4
P0757,T3,7,0,1
P0758,T3,37,3,4
P0759,T3,4,1,2
P0760,T2,3,1,2
P0761,T3,31,0,3
P0762,T3,63,2,3
P0763,T3,38,2,4
P0764,T3,54,1,2
P0765,T3,17,1,2
P0766,T2,16,3,4
P0767,T3,15,0,1
P0768,T3,66,0,2
P0769,T3,2,1,2
P0770,T2,10,1,2
P0771,T3,7,1,3
P0772,T2,22,2,4
P0773,T3,33,0,2
P0774,T3,4,1,2
P0775,T2,4,3,4
P0776,T2,5,0,1
P0777,T3,58,1,2
P0778,T2,18,0,2
P0779,T3,62,1,3
P0780,T3,43,1,2
P0781,T3,50,0,1
P0782,T2,13,0,1
P0783,T3,51,2,3
P0784,T3,76,1,2
P0785,T2,6,0,2
P0786,T3,22,0,2
P0787,T2,5,3,4
P0788,T3,19,0,1
P0789,T3,25,2,3
P0790,T3,43,1,2
P0791,T1,2,3,4
P0792,T3,7,0,1
P0793,T3,33,0,2
P0794,T3,51,0,2
P0795,T3,53,1,2
P0796,T3,8,0,1
P0797,T3,36,0,2
P0798,T2,6,2,3
P0799,T3,28,0,1
P0800,T2,13,0,1
P0801,T2,5,0,1
P0802,T2,10,1,2
P0803,T3,28,1,3
P0804,T2,3,3,4
P0805,T2,5,0,1
P0806,T2,21,1,2
P0807,T2,3,3,4
P0808,T3,28,0,1
P0809,T3,15,0,1
P0810,T2,20,2,3
P0811,T3,2,1,2
P0812,T3,22,0,2
P0813,T2,5,3,4
P0814,T2,16,3,4
P0815,T3,69,1,2
P0816,T3,54,1,2
P0817,T3,47,3,4
P0818,T3,23,0,1
P0819,T3,2,1,2
P0820,T3,49,0,1
P0821,T3,23,0,1
P0822,T2,10,0,1
P0823,T3,12,0,1
P0824,T2,16,3,4
P0825,T3,51,2,4
P0826,T2,5,0,1
P0827,T3,53,1,2
P0828,T3,21,0,1
P0829,T2,5,0,1
P0830,T3,24,2,3
P0831,T2,5,0,1
P0832,T3,63,2,3
P0833,T3,33,0,2
P0834,T3,53,0,1
P0835,T2,12,0,1
P0836,T3,52,2,3
P0837,T3,71,2,3
P0838,T2,10,0,1
P0839,T3,70,1,2
P0840,T3,52,2,3
P0841,T3,25,1,2
P0842,T3,2,1,2
P0843,T3,57,0,1
P0844,T2,13,1,2
P0845,T3,33,0,1
P0846,T3,59,2,3
P0847,T3,12,1,2
P0848,T3,54,0,1
P0849,T3,43,0,1
P0850,T3,48,1,2
P0851,T3,25,0,1
P0852,T3,70,1,2
P0853,T3,65,3,4
P0854,T3,37,3,4
P0855,T3,58,0,1
P0856,T3,36,0,2
P0857,T3,15,0,1
P0858,T3,67,2,4
P0859,T3,38,3,4
P0860,T3,1,0,1
P0861,T3,41,1,2
P0862,T3,71,0,1
P0863,T3,47,0,1
P0864,T2,15,2,3
P0865,T2,10,0,3
P0866,T3,8,1,2
P0867,T2,3,1,2
P0868,T3,65,0,1
P0869,T3,57,0,1
P0870,T2,6,0,2
P0871,T2,3,1,2
P0872,T3,24,0,2
P0873,T2,7,1,2
P0874,T3,32,3,4
P0875,T3,75,2,3
P0876,T3,54,2,3
P0877,T3,31,3,4
P0878,T2,12,1,3
P0879,T3,9,0,1
P0880,T3,65,0,1
P0881,T3,72,2,3
P0882,T3,16,2,3
P0883,T3,27,2,3
P0884,T3,65,3,4
P0885,T2,3,1,2
P0886,T3,59,1,2
P0887,T3,47,3,4
P0888,T3,24,0,2
P0889,T3,24,0,2
P0890,T3,63,1,2
P0891,T3,25,2,3
P0892,T2,16,3,4
P0893,T3,25,0,1
P0894,T2,5,0,1
P0895,T3,63,1,2
P0896,T3,27,0,2
P0897,T3,70,0,2
P0898,T3,53,1,2
P0899,T2,1,2,3
P0900,T3,25,2,3
P0901,T2,2,3,4
P0902,T3,17,1,2
P0903,T3,16,1,2
P0904,T3,36,0,2
P0905,T2,5,1,3
P0906,T3,7,2,3
P0907,T3,14,1,2
P0908,T3,3,0,1
P0909,T2,13,0,1
P0910,T3,27,2,3
P0911,T3,40,0,1
P0912,T2,6,0,2
P0913,T3,49,2,3
P0914,T3,64,1,3
P0915,T3,67,2,4
P0916,T3,42,0,1
P0917,T3,44,2,3
P0918,T3,16,0,1
P0919,T3,9,2,3
P0920,T3,54,1,2
P0921,T3,24,0,2
P0922,T2,9,1,2
P0923,T3,12,0,1
P0924,T3,25,2,3
P0925,T3,63,0,1
P0926,T3,11,0,2
P0927,T3,63,1,2
P0928,T3,52,1,4
P0929,T2,23,3,4
P0930,T3,2,1,2
P0931,T3,73,2,3
P0932,T2,16,3,4
P0933,T3,57,0,1
P0934,T3,41,1,2
P0935,T3,48,2,3
P0936,T3,48,2,3
P0937,T3,32,1,3
P0938,T3,53,3,5
P0939,T2,1,2,3
P0940,T3,51,2,3
P0941,T3,73,2,3
P0942,T3,2,1,2
P0943,T3,31,2,3
P0944,T3,66,1,3
P0945,T3,14,1,2
P0946,T2,20,0,1
P0947,T3,14,1,2
P0948,T2,5,0,1
P0949,T3,62,1,3
P0950,T2,1,0,1
P0951,T3,40,2,3
P0952,T3,57,0,1
P0953,T2,7,0,1
P0954,T3,69,1,2
P0955,T3,21,0,1
P0956,T3,36,2,3
P0957,T3,44,0,2
P0958,T2,15,2,3
P0959,T3,43,1,2
P0960,T2,15,2,3
P0961,T3,53,1,2
P0962,T3,69,0,1
P0963,T3,65,1,3
P0964,T2,20,2,3
P0965,T2,18,0,2
P0966,T2,6,2,3
P0967,T3,54,2,3
P0968,T3,37,3,4
P0969,T3,12,0,2
P0970,T3,52,2,3
P0971,T3,72,2,3
P0972,T3,1,1,2
P0973,T3,33,2,3
P0974,T3,47,1,2
P0975,T3,71,0,1
P0976,T2,10,3,5
P0977,T3,9,2,3
P0978,T3,10,0,2
P0979,T2,23,3,4
P0980,T3,40,0,1
P0981,T3,32,1,3
P0982,T3,1,1,2
P0983,T3,49,2,3
P0984,T3,76,2,4
P0985,T3,42,0,1
P0986,T3,71,0,1
P0987,T3,69,0,1
P0988,T3,67,1,2
P0989,T2,15,2,3
P0990,T3,65,1,3
P0991,T2,15,2,3
P0992,T2,13,0,1
P0993,T3,58,0,3
P0994,T3,57,0,1
P0995,T2,15,0,1
P0996,T2,10,3,5
P0997,T3,36,0,2
P0998,T3,17,0,1
P0999,T3,36,2,3
P1000,T3,9,0,2
P1001,T3,70,2,3
P1002,T3,4,1,2
P1003,T3,47,3,4
P1004,T3,65,0,1
P1005,T3,7,0,1
P1006,T3,9,0,1
P1007,T3,20,0,1
P1008,T3,20,2,3
P1009,T3,40,0,1
P1010,T2,12,1,3
P1011,T3,23,0,1
P1012,T3,24,2,3
P1013,T3,50,2,3
P1014,T2,15,2,3
P1015,T3,60,1,2
P1016,T2,5,0,1
P1017,T3,63,2,3
P1018,T3,71,0,1
P1019,T2,1,1,2
P1020,T2,10,3,5
P1021,T3,37,1,2
P1022,T3,18,0,1
P1023,T2,15,1,2
P1024,T3,47,3,4
P1025,T2,5,0,1
P1026,T3,13,2,3
P1027,T3,43,1,2
P1028,T3,52,2,3
P1029,T3,8,1,2
P1030,T3,18,1,2
P1031,T3,72,0,2
P1032,T3,71,2,3
P1033,T3,31,2,3
P1034,T2,2,1,3
P1035,T3,37,0,1
P1036,T3,8,0,1
P1037,T3,50,2,3
P1038,T3,71,2,3
P1039,T2,7,1,2
P1040,T2,16,3,4
P1041,T3,51,2,3
P1042,T3,40,0,1
P1043,T3,51,2,3
P1044,T3,63,2,3
P1045,T3,33,2,3
P1046,T3,13,2,3
P1047,T3,22,2,3
P1048,T3,15,0,1
P1049,T3,29,0,2
P1050,T2,18,0,2
P1051,T3,1,1,2
P1052,T3,3,0,1
P1053,T3,34,2,3
P1054,T2,15,2,3
P1055,T2,16,1,3
P1056,T3,27,0,2
P1057,T3,61,1,2
P1058,T3,72,2,3
P1059,T3,45,3,4
P1060,T2,3,3,4
P1061,T3,8,1,2
P1062,T2,3,1,2
P1063,T3,52,0,2
P1064,T1,2,3,4
P1065,T2,2,3,4
P1066,T3,63,1,2
P1067,T2,1,1,2
P1068,T2,15,0,1
P1069,T1,2,3,4
P1070,T2,15,1,2
P1071,T3,11,0,2
