person_id,task_type,arrival_margin_minutes
P0214,shift,1440
P0215,shift,449
P0216,shift,2799
P0217,shift,1425
P0218,shift,753
P0219,shift,79
P0220,shift,1424
P0221,shift,1527
P0222,shift,1440
P0223,shift,1452
P0224,shift,2838
P0225,production,63
P0226,shift,2263
P0227,shift,1450
P0228,shift,1440
P0229,shift,1440
P0230,shift,1425
P0231,shift,1428
P0232,shift,4274
P0233,shift,865
P0234,shift,22
P0235,shift,1440
P0236,shift,1444
P0237,shift,93
P0238,shift,1373
P0239,shift,1440
P0240,shift,1440
P0241,shift,2642
P0242,shift,1430
P0243,production,23
P0244,shift,1450
P0245,shift,1426
P0246,shift,1849
P0247,shift,2372
P0248,shift,2900
P0249,shift,1440
P0250,production,121
P0251,temporary,3221
P0252,shift,2234
P0253,shift,1433
P0254,shift,2863
P0255,shift,41
P0256,emergency,9
P0257,production,3
P0258,shift,1445
P0259,shift,2757
P0260,shift,1398
P0261,shift,679
P0262,shift,679
P0263,production,61
P0264,shift,2845
P0265,shift,1454
P0266,shift,1440
P0267,shift,1450
P0268,shift,834
P0269,shift,853
P0270,shift,148
P0271,shift,810
P0272,temporary,3612
P0273,shift,3221
P0274,shift,1385
P0275,shift,1709
P0276,shift,667
P0277,shift,1435
P0278,shift,1406
P0279,emergency,14
P0280,shift,752
P0281,shift,1398
P0282,shift,1519
P0283,shift,1594
P0284,shift,1315
P0285,emergency,7
P0286,shift,1460
P0287,shift,1440
P0288,shift,2880
P0289,production,53
P0290,shift,1444
P0291,production,12
P0292,shift,1279
P0293,shift,2303
P0294,emergency,11
P0295,shift,1889
P0296,shift,2877
P0297,shift,1440
P0298,shift,1432
P0299,shift,2834
P0300,shift,1423
P0301,shift,708
P0302,shift,10
P0303,shift,2251
P0304,shift,4338
P0305,shift,1440
P0306,shift,1133
P0307,shift,81
P0308,temporary,2874
P0309,shift,2237
P0310,shift,2848
P0311,shift,15
P0312,shift,2326
P0313,production,91
P0314,shift,1918
P0315,shift,581
P0316,shift,2881
P0317,shift,1360
P0318,temporary,4312
P0319,emergency,40
P0320,shift,1202
P0321,shift,1478
P0322,shift,2872
P0323,production,52
P0324,shift,789
P0325,shift,1261
P0326,shift,2836
P0327,shift,1435
P0328,shift,667
P0329,shift,1199
P0330,shift,2880
P0331,shift,66
P0332,shift,2820
P0333,shift,1489
P0334,shift,758
P0335,shift,16
P0336,shift,581
P0337,production,97
P0338,shift,1383
P0339,shift,10
P0340,shift,1388
P0341,shift,1402
P0342,shift,1416
P0343,temporary,2189
P0344,production,65
P0345,shift,863
P0346,shift,1402
P0347,production,4
P0348,shift,2910
P0349,shift,896
P0350,shift,920
P0351,shift,683
P0352,production,32
P0353,shift,1398
P0354,production,42
P0355,shift,2866
P0356,shift,581
P0357,shift,1918
P0358,shift,1388
P0359,temporary,880
P0360,production,45
P0361,shift,2326
P0362,shift,1440
P0363,shift,2918
P0364,shift,1425
P0365,shift,2880
P0366,temporary,2237
P0367,shift,1395
P0368,shift,1450
P0369,shift,1615
P0370,shift,1447
P0371,shift,840
P0372,shift,771
P0373,shift,744
P0374,production,112
P0375,shift,1396
P0376,temporary,3847
P0377,temporary,6959
P0378,shift,2890
P0379,shift,1398
P0380,shift,743
P0381,shift,679
P0382,shift,130
P0383,shift,1440
P0384,shift,1453
P0385,shift,1383
P0386,shift,2757
P0387,shift,1440
P0388,shift,449
P0389,shift,744
P0390,shift,654
P0391,shift,1229
P0392,emergency,13
P0393,shift,2880
P0394,shift,2939
P0395,shift,1440
P0396,shift,1391
P0397,shift,2815
P0398,shift,2904
P0399,shift,1428
P0400,shift,2247
P0401,shift,3388
P0402,shift,2875
P0403,shift,1446
P0404,production,78
P0405,shift,1435
P0406,shift,1386
P0407,shift,4112
P0408,shift,1432
P0409,shift,1302
P0410,shift,76
P0411,shift,106
P0412,shift,1406
P0413,shift,2209
P0414,shift,2865
P0415,shift,1423
P0416,emergency,17
P0417,shift,661
P0418,temporary,3807
P0419,production,60
P0420,shift,1425
P0421,shift,1440
P0422,shift,2838
P0423,shift,778
P0424,shift,4255
P0425,shift,1184
P0426,shift,581
P0427,temporary,758
P0428,shift,2816
P0429,production,56
P0430,shift,4320
P0431,production,87
P0432,production,83
P0433,shift,2834
P0434,shift,1440
P0435,shift,717
P0436,shift,920
P0437,shift,1431
P0438,shift,1423
P0439,shift,4212
P0440,shift,2880
P0441,shift,106
P0442,shift,1189
P0443,shift,86
P0444,production,37
P0445,shift,2584
P0446,shift,57
P0447,shift,2893
P0448,shift,1593
P0449,shift,1394
P0450,shift,9
P0451,production,68
P0452,shift,1409
P0453,shift,2880
P0454,shift,2274
P0455,shift,1440
P0456,shift,2247
P0457,shift,1425
P0458,shift,920
P0459,production,90
P0460,shift,834
P0461,shift,10
P0462,shift,2880
P0463,production,69
P0464,shift,865
P0465,production,75
P0466,production,111
P0467,shift,689
P0468,shift,2097
P0469,shift,1454
P0470,shift,1436
P0471,shift,2845
P0472,shift,2873
P0473,shift,679
P0474,shift,1533
P0475,temporary,76
P0476,shift,853
P0477,shift,1419
P0478,shift,86
P0479,shift,1918
P0480,shift,1384
P0481,production,77
P0482,shift,778
P0483,shift,2919
P0484,shift,1302
P0485,shift,622
P0486,shift,1441
P0487,production,13
P0488,temporary,2821
P0489,shift,864
P0490,temporary,1202
P0491,shift,1402
P0492,shift,1440
P0493,shift,1440
P0494,shift,4310
P0495,shift,41
P0496,shift,1671
P0497,shift,1229
P0498,shift,2892
P0499,shift,81
P0500,shift,1377
P0501,shift,15
P0502,shift,1497
P0503,production,81
P0504,shift,1506
P0505,shift,973
P0506,shift,1452
P0507,shift,1440
P0508,shift,780
P0509,shift,2872
P0510,shift,2880
P0511,shift,1434
P0512,shift,64
P0513,emergency,25
P0514,shift,1477
P0515,shift,1400
P0516,shift,581
P0517,shift,31
P0518,production,37
P0519,shift,1450
P0520,shift,1463
P0521,shift,2865
P0522,shift,4338
P0523,shift,86
P0524,shift,865
P0525,production,62
P0526,shift,1599
P0527,shift,1440
P0528,shift,1398
P0529,shift,1437
P0530,shift,896
P0531,shift,758
P0532,shift,683
P0533,shift,2872
P0534,shift,1453
P0535,shift,205
P0536,shift,541
P0537,production,54
P0538,production,55
P0539,shift,2846
P0540,shift,2880
P0541,shift,4247
P0542,shift,850
P0543,shift,2880
P0544,shift,2144
P0545,shift,1399
P0546,shift,654
P0547,shift,1424
P0548,shift,2271
P0549,shift,679
P0550,shift,1455
P0551,shift,1397
P0552,shift,3055
P0553,shift,1207
P0554,shift,2880
P0555,shift,1376
P0556,shift,2397
P0557,shift,1418
P0558,shift,1443
P0559,shift,1440
P0560,shift,2628
P0561,shift,2880
P0562,shift,1918
P0563,shift,4327
P0564,shift,4302
P0565,production,16
P0566,shift,1391
P0567,shift,1440
P0568,shift,1217
P0569,shift,39
P0570,shift,2880
P0571,shift,2868
P0572,shift,2880
P0573,shift,1383
P0574,shift,1434
P0575,shift,856
P0576,shift,1402
P0577,shift,58
P0578,shift,864
P0579,shift,2662
P0580,shift,1440
P0581,shift,1432
P0582,shift,1450
P0583,shift,108
P0584,shift,2880
P0585,shift,2844
P0586,shift,2884
P0587,shift,1388
P0588,shift,1463
P0589,shift,1452
P0590,shift,41
P0591,shift,2848
P0592,temporary,2806
P0593,shift,4310
P0594,shift,708
P0595,shift,2918
P0596,shift,1376
P0597,shift,1408
P0598,shift,760
P0599,shift,2342
P0600,shift,1202
P0601,shift,2903
P0602,shift,1504
P0603,shift,581
P0604,shift,1398
P0605,shift,1440
P0606,shift,1409
P0607,shift,856
P0608,shift,1445
P0609,shift,366
P0610,shift,56
P0611,shift,1432
P0612,shift,1440
P0613,production,73
P0614,emergency,16
P0615,shift,1440
P0616,shift,1398
P0617,shift,2880
P0618,production,24
P0619,shift,2880
P0620,shift,2865
P0621,shift,2835
P0622,shift,1440
P0623,shift,864
P0624,shift,1481
P0625,shift,708
P0626,shift,2892
P0627,shift,1408
P0628,shift,2450
P0629,shift,2864
P0630,shift,1449
P0631,shift,1440
P0632,shift,1455
P0633,shift,1409
P0634,shift,2642
P0635,shift,1279
P0636,production,76
P0637,shift,2880
P0638,production,49
P0639,shift,2256
P0640,temporary,3784
P0641,shift,1440
P0642,shift,1595
P0643,shift,1440
P0644,shift,2880
P0645,shift,1440
P0646,shift,789
P0647,shift,778
P0648,shift,661
P0649,shift,66
P0650,shift,0
P0651,production,68
P0652,shift,3518
P0653,production,71
P0654,shift,1467
P0655,shift,1373
P0656,production,22
P0657,production,58
P0658,shift,1440
P0659,shift,1414
P0660,shift,2342
P0661,shift,1918
P0662,shift,2844
P0663,shift,2880
P0664,shift,1207
P0665,production,58
P0666,shift,863
P0667,shift,1489
P0668,shift,2880
P0669,shift,2881
P0670,shift,1442
P0671,shift,100
P0672,shift,1440
P0673,shift,4320
P0674,shift,2880
P0675,shift,66
P0676,shift,2874
P0677,shift,826
P0678,shift,2838
P0679,shift,2904
P0680,shift,888
P0681,shift,148
P0682,shift,1440
P0683,production,114
P0684,shift,1383
P0685,temporary,1384
P0686,shift,66
P0687,production,22
P0688,shift,1393
P0689,shift,1948
P0690,shift,1429
P0691,shift,3526
P0692,shift,622
P0693,emergency,22
P0694,temporary,708
P0695,shift,863
P0696,shift,1216
P0697,shift,2874
P0698,shift,1440
P0699,temporary,4042
P0700,shift,1440
P0701,shift,2880
P0702,shift,1440
P0703,production,33
P0704,shift,1391
P0705,production,26
P0706,shift,1411
P0707,shift,208
P0708,shift,1440
P0709,shift,717
P0710,production,19
P0711,temporary,2627
P0712,production,11
P0713,shift,1453
P0714,shift,983
P0715,shift,2838
P0716,shift,1444
P0717,shift,1428
P0718,shift,1440
P0719,shift,1444
P0720,shift,1444
P0721,shift,990
P0722,shift,2209
P0723,shift,1009
P0724,shift,1440
P0725,shift,1397
P0726,temporary,3178
P0727,shift,1429
P0728,production,89
P0729,shift,3984
P0730,shift,1327
P0731,shift,1657
P0732,shift,1889
P0733,shift,679
P0734,shift,1452
P0735,shift,1310
P0736,shift,780
P0737,shift,1441
P0738,temporary,2838
P0739,shift,1434
P0740,shift,864
P0741,shift,187
P0742,shift,1498
P0743,shift,2880
P0744,production,66
P0745,shift,780
P0746,shift,3421
P0747,shift,1423
P0748,shift,1327
P0749,shift,1440
P0750,shift,1387
P0751,shift,9
P0752,shift,1009
P0753,shift,864
P0754,shift,366
P0755,shift,826
P0756,production,15
P0757,shift,37
P0758,shift,86
P0759,shift,2872
P0760,shift,4281
P0761,shift,2342
P0762,temporary,780
P0763,shift,1489
P0764,shift,1479
P0765,temporary,2879
P0766,shift,1398
P0767,shift,1449
P0768,shift,1317
P0769,shift,1452
P0770,shift,159
P0771,shift,1544
P0772,shift,2240
P0773,shift,853
P0774,shift,2872
P0775,production,56
P0776,shift,1379
P0777,shift,679
P0778,shift,2903
P0779,shift,1399
P0780,shift,780
P0781,shift,187
P0782,shift,834
P0783,shift,2859
P0784,shift,2397
P0785,shift,661
P0786,shift,2824
P0787,shift,2152
P0788,production,42
P0789,shift,1420
P0790,shift,1447
P0791,shift,683
P0792,shift,2873
P0793,shift,1440
P0794,production,72
P0795,shift,2880
P0796,shift,64
P0797,temporary,47
P0798,shift,1440
P0799,shift,972
P0800,production,89
P0801,shift,4320
P0802,shift,1599
P0803,shift,7
P0804,shift,1421
P0805,shift,1379
P0806,shift,1400
P0807,temporary,5734
P0808,shift,2880
P0809,shift,1449
P0810,shift,1389
P0811,shift,2880
P0812,shift,1384
P0813,shift,1425
P0814,shift,2838
P0815,shift,2816
P0816,shift,39
P0817,production,123
P0818,shift,1440
P0819,shift,863
P0820,shift,1319
P0821,shift,1440
P0822,shift,1189
P0823,temporary,208
P0824,production,52
P0825,shift,2925
P0826,shift,4320
P0827,shift,4264
P0828,shift,1440
P0829,shift,1379
P0830,shift,1645
P0831,temporary,4320
P0832,shift,1464
P0833,shift,2255
P0834,shift,41
P0835,temporary,1548
P0836,shift,300
P0837,shift,205
P0838,shift,1317
P0839,shift,2874
P0840,shift,1450
P0841,shift,1533
P0842,shift,1440
P0843,shift,1673
P0844,temporary,1453
P0845,shift,2880
P0846,shift,2875
P0847,shift,1440
P0848,shift,2880
P0849,production,39
P0850,shift,2866
P0851,shift,1423
P0852,shift,1434
P0853,shift,2639
P0854,temporary,5754
P0855,shift,983
P0856,shift,1497
P0857,shift,1440
P0858,shift,2917
P0859,shift,1639
P0860,temporary,6555
P0861,shift,4195
P0862,shift,2863
P0863,shift,2880
P0864,shift,1440
P0865,shift,689
P0866,shift,865
P0867,shift,2841
P0868,shift,1701
P0869,shift,1440
P0870,shift,661
P0871,shift,4281
P0872,shift,449
P0873,shift,2807
P0874,production,44
P0875,shift,753
P0876,shift,1393
P0877,shift,2865
P0878,shift,1442
P0879,shift,1440
P0880,production,18
P0881,production,91
P0882,shift,273
P0883,shift,1440
P0884,shift,1199
P0885,shift,2841
P0886,shift,2878
P0887,shift,2836
P0888,shift,3055
P0889,shift,1948
P0890,production,77
P0891,shift,2271
P0892,shift,2070
P0893,shift,1384
P0894,production,21
P0895,shift,864
P0896,shift,1440
P0897,shift,2880
P0898,shift,2880
P0899,shift,2786
P0900,shift,1420
P0901,shift,1377
P0902,shift,1439
P0903,production,26
P0904,shift,896
P0905,shift,4121
P0906,shift,865
P0907,shift,1549
P0908,shift,15
P0909,shift,834
P0910,production,81
P0911,temporary,1440
P0912,shift,1440
P0913,shift,1639
P0914,shift,1476
P0915,production,0
P0916,shift,1440
P0917,shift,1406
P0918,shift,1435
P0919,production,70
P0920,shift,2789
P0921,shift,1671
P0922,shift,1399
P0923,temporary,4338
P0924,shift,2271
P0925,production,39
P0926,temporary,1439
P0927,shift,864
P0928,temporary,2874
P0929,shift,1496
P0930,shift,1452
P0931,shift,622
P0932,shift,3221
P0933,shift,2880
P0934,shift,2755
P0935,shift,5
P0936,shift,1445
P0937,shift,1419
P0938,shift,4314
P0939,shift,1440
P0940,shift,2859
P0941,temporary,622
P0942,shift,2880
P0943,shift,1366
P0944,shift,2916
P0945,shift,109
P0946,shift,2870
P0947,shift,109
P0948,shift,1111
P0949,shift,2887
P0950,shift,778
P0951,shift,4102
P0952,shift,2880
P0953,shift,2642
P0954,shift,2938
P0955,shift,2342
P0956,shift,789
P0957,shift,2880
P0958,shift,1009
P0959,production,31
P0960,shift,17
P0961,shift,4264
P0962,shift,2834
P0963,shift,1437
P0964,shift,81
P0965,shift,1463
P0966,shift,1440
P0967,shift,1393
P0968,production,51
P0969,shift,1440
P0970,shift,2890
P0971,shift,2884
P0972,shift,2861
P0973,shift,2919
P0974,shift,2880
P0975,shift,849
P0976,shift,541
P0977,shift,2312
P0978,shift,4220
P0979,shift,1424
P0980,shift,2838
P0981,production,45
P0982,shift,2861
P0983,shift,1229
P0984,shift,1456
P0985,shift,1440
P0986,shift,849
P0987,shift,1948
P0988,shift,2872
P0989,shift,1440
P0990,shift,2877
P0991,shift,17
P0992,shift,1387
P0993,shift,1415
P0994,shift,1673
P0995,shift,217
P0996,shift,541
P0997,shift,896
P0998,shift,1440
P0999,shift,4239
P1000,shift,3819
P1001,shift,1345
P1002,shift,2872
P1003,shift,4255
P1004,shift,3141
P1005,shift,840
P1006,shift,4220
P1007,shift,2820
P1008,temporary,1437
P1009,shift,2838
P1010,shift,2882
P1011,shift,1573
P1012,shift,1645
P1013,shift,744
P1014,shift,1457
P1015,shift,2851
P1016,shift,1111
P1017,shift,1464
P1018,shift,15
P1019,shift,4068
P1020,shift,541
P1021,production,89
P1022,shift,1414
P1023,shift,1440
P1024,shift,2128
P1025,shift,1440
P1026,shift,2805
P1027,shift,2887
P1028,shift,2890
P1029,shift,865
P1030,shift,1526
P1031,shift,2880
P1032,shift,3029
P1033,shift,1388
P1034,shift,2880
P1035,shift,2255
P1036,shift,64
P1037,shift,744
P1038,shift,3029
P1039,shift,2807
P1040,shift,3221
P1041,shift,1419
P1042,shift,2880
P1043,shift,2859
P1044,shift,2270
P1045,production,61
P1046,shift,2880
P1047,shift,1384
P1048,shift,9
P1049,shift,1376
P1050,shift,2836
P1051,shift,2861
P1052,shift,1512
P1053,shift,2209
P1054,shift,17
P1055,production,34
P1056,shift,1440
P1057,production,51
P1058,shift,2880
P1059,shift,1399
P1060,shift,1279
P1061,shift,865
P1062,production,59
P1063,shift,1424
P1064,shift,683
P1065,shift,708
P1066,shift,864
P1067,shift,4068
P1068,shift,1516
P1069,shift,1408
P1070,shift,1440
P1071,shift,1425
P1072,shift,2803
P1073,shift,3022
P1074,shift,2848
P1075,shift,1384
P1076,shift,2872
P1077,temporary,2930
P1078,shift,1440
P1079,shift,1549
P1080,production,94
P1081,shift,4247
P1082,shift,1481
P1083,shift,2871
P1084,shift,1853
P1085,production,32
P1086,shift,1113
P1087,shift,717
P1088,shift,2541
P1089,shift,743
P1090,shift,2872
P1091,shift,2893
P1092,shift,1496
P1093,shift,4335
P1094,shift,16
P1095,shift,2251
P1096,shift,2882
P1097,shift,2892
P1098,shift,1443
P1099,shift,1440
P1100,emergency,19
P1101,shift,1430
P1103,shift,1450
P1104,shift,2805
P1105,shift,71
P1106,shift,1479
P1107,shift,2874
P1108,shift,2838
P1109,production,79
P1110,shift,2874
P1111,shift,2144
P1112,shift,1432
P1113,shift,1440
P1114,shift,933
P1115,shift,1440
P1116,shift,2840
P1117,shift,2872
P1118,shift,1384
P1119,shift,920
P1120,shift,1440
P1121,temporary,3660
P1122,shift,231
P1123,shift,865
P1124,shift,826
P1125,production,99
P1126,emergency,68
P1127,shift,2247
P1128,shift,1444
P1129,shift,780
P1130,shift,39
P1131,shift,2610
P1132,shift,2849
P1133,shift,1440
P1134,shift,2271
P1135,shift,1415
P1136,shift,2564
P1137,shift,1657
P1138,shift,1496
P1139,shift,2880
P1140,shift,2874
P1141,shift,2827
P1142,shift,1363
P1143,shift,1421
P1144,production,38
P1145,shift,2844
P1146,temporary,2859
P1147,shift,2859
P1148,shift,2880
P1149,shift,1489
P1150,shift,2628
P1151,shift,1440
P1152,shift,66
P1153,shift,2880
P1154,shift,622
P1155,shift,2271
P1156,shift,2880
P1157,shift,1217
P1158,shift,1853
P1159,production,79
P1160,shift,1430
P1161,temporary,1385
P1162,shift,1413
P1163,shift,2880
P1164,shift,1440
P1165,production,119
P1166,shift,752
P1167,production,50
P1168,shift,93
P1169,production,17
P1170,shift,3221
P1171,shift,2836
P1172,shift,743
P1173,shift,3022
P1174,production,57
P1175,production,79
P1176,shift,2887
P1177,shift,79
P1178,shift,5
P1179,shift,1378
P1180,shift,2800
P1181,shift,1440
P1182,shift,708
P1183,shift,56
P1184,shift,4248
P1185,shift,2880
P1186,shift,683
P1187,shift,2880
P1188,shift,2880
P1189,shift,2826
P1190,shift,66
P1191,shift,2865
P1192,shift,2845
P1193,shift,2923
P1194,shift,130
P1195,shift,849
P1196,shift,2336
P1197,temporary,2865
P1198,production,52
P1199,shift,1481
P1200,shift,1918
P1201,shift,853
P1202,shift,1467
P1203,shift,1440
P1204,temporary,4109
P1205,shift,2859
P1206,shift,785
P1207,emergency,39
P1208,shift,2875
P1209,shift,1440
P1210,temporary,1440
P1211,shift,2880
P1212,shift,2894
P1213,production,69
P1214,shift,1428
P1215,production,87
P1216,shift,1512
P1217,shift,1481
P1218,shift,2872
P1219,production,56
P1220,shift,1207
P1221,shift,1440
P1222,shift,1439
P1223,shift,2262
P1224,shift,2755
P1225,shift,12
P1226,shift,2834
P1227,shift,1498
P1228,shift,1322
P1229,shift,856
P1230,shift,1440
P1231,shift,2163
P1232,production,51
P1233,shift,9
P1234,shift,1437
P1235,production,82
P1236,shift,4320
P1237,shift,2875
P1238,shift,2255
P1239,shift,1419
P1240,shift,622
P1241,shift,1376
P1242,shift,58
P1243,shift,2824
P1244,shift,2938
P1245,production,89
P1246,shift,1065
P1247,shift,1671
P1248,shift,1416
P1249,shift,2821
P1250,shift,2880
P1251,shift,1594
P1252,shift,2772
P1253,shift,1444
P1254,shift,1440
P1255,shift,581
P1256,shift,1376
P1257,shift,2312
P1258,production,2
P1259,shift,1424
P1260,production,21
P1261,shift,73
P1262,shift,2097
P1263,shift,1440
P1264,shift,1455
P1265,shift,53
P1266,shift,1425
P1267,shift,231
P1268,production,72
P1269,production,53
P1270,production,45
P1271,shift,2178
P1272,temporary,4195
P1273,shift,1402
P1274,temporary,1435
P1275,shift,683
P1276,shift,2834
P1277,shift,100
P1278,shift,1428
P1279,shift,1395
P1280,production,9
P1281,shift,3608
P1282,production,79
P1283,shift,1167
P1284,shift,2880
P1285,shift,2873
P1286,shift,4327
P1287,shift,1411
P1288,shift,4229
P1289,shift,1443
P1290,shift,1377
P1291,shift,1445
P1292,shift,581
P1293,production,8
P1294,shift,2903
P1295,shift,2893
P1296,shift,2880
P1297,shift,781
P1298,shift,1377
P1299,shift,2868
P1300,shift,654
P1301,shift,1384
P1302,shift,1453
P1303,shift,1496
P1304,production,48
P1305,production,29
P1306,shift,1443
P1307,shift,86
P1308,shift,231
P1309,shift,1476
P1310,shift,1440
P1311,shift,81
P1312,shift,2824
P1313,production,74
P1314,shift,1423
P1315,shift,2880
P1316,shift,4276
P1317,shift,2882
P1318,shift,1440
P1319,shift,1440
P1320,production,28
P1321,shift,81
P1322,shift,449
P1323,shift,1425
P1324,shift,1918
P1325,shift,2807
P1326,shift,2878
P1327,shift,1463
P1328,shift,4102
P1329,shift,920
P1330,shift,5
P1331,shift,2880
P1332,shift,1440
P1333,shift,2880
P1334,shift,2274
P1335,shift,2880
P1336,shift,2326
P1337,shift,3727
P1338,shift,4239
P1339,shift,849
P1340,shift,1416
P1341,shift,4261
P1342,shift,2642
P1343,shift,920
P1344,shift,1397
P1345,shift,850
P1346,shift,2874
P1347,shift,1709
P1348,shift,2840
P1349,shift,1599
P1350,shift,1435
P1351,shift,1444
P1352,shift,880
P1353,shift,2835
P1354,shift,2878
P1355,shift,789
P1356,shift,622
P1357,shift,3313
P1358,shift,2880
P1359,temporary,2240
P1360,shift,1439
P1361,shift,2925
P1362,shift,366
P1363,shift,581
P1364,emergency,34
P1365,shift,2880
P1366,shift,2816
P1367,shift,2247
P1368,shift,2880
P1369,shift,1378
P1370,shift,2815
P1371,shift,1462
P1372,shift,1367
P1373,shift,1440
P1374,production,28
P1375,shift,2240
P1376,shift,1918
P1377,temporary,2859
P1378,shift,1440
P1379,shift,2907
P1380,temporary,2880
P1381,shift,1426
P1382,shift,1450
P1383,shift,1447
P1384,shift,1400
P1385,shift,2417
P1386,production,93
P1387,shift,865
P1388,shift,1467
P1389,shift,1440
P1390,shift,1416
P1391,shift,4121
P1392,shift,1440
P1393,production,42
P1394,shift,2880
P1395,shift,1480
P1396,shift,2633
P1397,shift,1450
P1398,shift,4314
P1399,shift,2890
P1400,shift,1432
P1401,shift,2773
P1402,temporary,853
P1403,temporary,1440
P1404,shift,3022
P1405,emergency,10
P1406,shift,925
P1407,shift,2880
P1408,production,25
P1409,shift,864
P1410,shift,2800
P1411,shift,2883
P1412,shift,1416
P1413,shift,217
P1414,temporary,2614
P1415,shift,1393
P1416,shift,1065
P1417,shift,708
P1418,shift,1889
P1419,shift,2878
P1420,shift,1061
P1421,shift,1371
P1422,shift,1440
P1423,shift,2404
P1424,shift,4275
P1425,shift,2178
P1426,shift,1440
P1427,shift,3034
P1428,shift,1207
P1429,production,42
P1430,shift,1440
P1431,shift,939
P1432,shift,2848
P1433,shift,1419
P1434,production,11
P1435,shift,1440
P1436,shift,679
P1437,shift,2397
P1438,production,75
P1439,production,50
P1440,shift,912
P1441,shift,1327
P1442,shift,1184
P1443,shift,4320
P1444,shift,1440
P1445,shift,1202
P1446,shift,1377
P1447,shift,1394
