person_id,aircraft_type,flight_no,pickup_stop_order,delivery_stop_order
P0421,T2,7,0,1
P0422,T2,17,0,2
P0423,T2,37,0,2
P0428,T2,35,0,1
P0430,T2,21,0,2
P0433,T2,34,0,3
P0435,T3,34,0,1
P0436,T2,7,0,1
P0438,T3,14,0,1
P0440,T2,7,0,1
P0442,T3,50,0,2
P0445,T2,29,0,1
P0446,T2,24,0,2
P0448,T2,36,0,1
P0449,T3,33,0,1
P0450,T3,19,0,1
P0451,T3,21,0,2
P0453,T2,38,0,2
P0454,T3,8,0,1
P0455,T3,37,0,1
P0456,T3,14,0,1
P0458,T2,7,0,1
P0459,T3,17,0,1
P0460,T2,10,0,1
P0462,T2,24,0,2
P0465,T2,40,0,1
P0467,T3,28,0,1
P0470,T2,15,0,1
P0472,T2,29,0,1
P0475,T2,33,0,1
P0476,T3,31,0,1
P0479,T3,39,0,1
P0480,T3,30,0,2
P0482,T2,37,0,2
P0484,T3,31,0,1
P0490,T3,31,0,2
P0492,T2,7,0,1
P0493,T3,29,0,1
P0496,T3,34,0,1
P0499,T2,32,0,1
P0501,T3,14,0,1
P0502,T2,24,0,2
P0505,T3,18,0,1
P0510,T3,11,0,1
P0511,T3,18,0,1
P0512,T3,1,0,1
P0513,T2,6,0,1
P0519,T3,47,0,2
P0520,T2,42,0,2
P0521,T3,18,0,1
P0522,T3,18,0,1
P0525,T3,11,0,1
P0528,T3,5,0,1
P0530,T2,24,0,2
P0535,T1,1,0,1
P0537,T3,17,0,1
P0540,T3,37,0,2
P0541,T2,24,0,2
P0542,T3,38,0,2
P0546,T2,17,0,2
P0547,T3,44,0,1
P0550,T3,14,0,1
P0552,T3,34,0,1
P0558,T2,41,0,1
P0559,T3,31,0,2
P0561,T3,11,0,1
P0562,T3,39,0,1
P0565,T2,35,0,1
P0566,T2,41,0,1
P0567,T3,28,0,1
P0568,T2,21,0,2
P0570,T3,31,0,1
P0572,T3,29,0,1
P0573,T2,27,0,1
P0574,T2,28,0,1
P0575,T3,1,0,1
P0580,T3,20,0,1
P0582,T2,41,0,1
P0583,T3,45,0,1
P0584,T3,11,0,1
P0588,T3,48,0,2
P0598,T3,43,0,1
P0599,T3,20,0,1
P0600,T3,31,0,2
P0601,T2,42,0,2
P0602,T3,1,0,1
P0605,T2,6,0,1
P0607,T3,1,0,1
P0610,T3,44,0,1
P0611,T2,35,0,2
P0612,T2,7,0,1
P0613,T3,35,0,1
P0616,T2,17,0,2
P0617,T3,37,0,1
P0618,T2,17,0,2
P0619,T3,11,0,1
P0620,T3,18,0,1
P0622,T3,42,0,2
P0628,T3,8,0,1
P0631,T3,45,0,1
P0632,T2,1,0,1
P0634,T3,31,0,2
P0635,T2,9,0,1
P0637,T3,31,0,1
P0638,T3,37,0,1
P0641,T3,12,0,1
P0642,T3,45,0,1
P0643,T3,37,0,2
P0644,T3,12,0,1
P0647,T2,37,0,2
P0648,T2,38,0,2
P0652,T3,30,0,2
P0655,T2,27,0,1
P0657,T3,47,0,2
P0659,T3,3,0,1
P0660,T3,38,0,1
P0661,T3,39,0,1
P0665,T2,31,0,3
P0672,T2,38,0,2
P0673,T2,21,0,2
P0677,T2,31,0,3
P0680,T3,3,0,1
P0682,T3,12,0,1
P0685,T3,30,0,2
P0687,T3,7,0,1
P0689,T3,34,0,1
P0693,T2,35,0,2
P0696,T3,17,0,1
P0697,T3,18,0,1
P0698,T3,8,0,1
P0700,T3,31,0,2
P0703,T2,29,0,1
P0704,T2,41,0,1
P0707,T1,1,0,1
P0709,T3,34,0,1
P0714,T3,24,0,1
P0715,T3,5,0,1
P0718,T2,4,0,1
P0721,T2,27,0,1
P0728,T2,41,0,1
P0729,T2,32,0,1
P0731,T2,33,0,1
P0735,T3,5,0,1
P0738,T2,17,0,2
P0741,T2,21,0,2
P0743,T3,21,0,2
P0744,T3,20,0,1
P0746,T3,19,0,1
P0747,T3,7,0,1
P0750,T2,10,0,1
P0751,T3,19,0,1
P0755,T2,31,0,3
P0757,T2,29,0,1
P0761,T3,38,0,1
P0767,T3,19,0,1
P0768,T2,41,0,1
P0773,T2,25,0,2
P0776,T2,21,0,2
P0778,T2,42,0,2
P0781,T2,21,0,2
P0782,T2,10,0,1
P0785,T2,38,0,2
P0786,T3,30,0,2
P0788,T3,44,0,1
P0792,T2,29,0,1
P0793,T2,25,0,2
P0794,T3,47,0,2
P0796,T3,1,0,1
P0797,T2,24,0,2
P0799,T3,22,0,2
P0800,T2,10,0,1
P0801,T2,21,0,2
P0805,T2,21,0,2
P0808,T3,22,0,2
P0809,T3,19,0,1
P0812,T3,30,0,2
P0818,T3,8,0,1
P0820,T2,27,0,1
P0821,T3,8,0,1
P0822,T2,41,0,1
P0823,T1,1,0,1
P0826,T2,21,0,2
P0828,T3,20,0,1
P0829,T2,21,0,2
P0831,T3,26,0,2
P0833,T2,25,0,2
P0834,T3,36,0,1
P0835,T3,45,0,1
P0838,T3,50,0,2
P0843,T3,27,0,1
P0845,T2,15,0,1
P0848,T3,48,0,2
P0849,T3,40,0,1
P0851,T3,7,0,1
P0855,T3,24,0,1
P0856,T2,24,0,2
P0857,T3,19,0,1
P0860,T3,41,0,1
P0862,T3,14,0,1
P0863,T2,4,0,1
P0865,T3,37,0,2
P0868,T3,49,0,1
P0869,T3,27,0,1
P0870,T2,38,0,2
P0872,T3,34,0,1
P0879,T3,42,0,2
P0880,T2,43,0,2
P0888,T3,34,0,1
P0889,T3,34,0,1
P0893,T3,7,0,1
P0894,T3,26,0,2
P0896,T3,21,0,2
P0897,T2,13,0,1
P0904,T2,24,0,2
P0908,T2,1,0,1
P0909,T2,10,0,1
P0911,T3,50,0,1
P0912,T2,38,0,2
P0916,T3,28,0,1
P0918,T3,29,0,2
P0921,T3,34,0,1
P0923,T1,1,0,1
P0925,T3,5,0,1
P0926,T3,18,0,1
P0933,T3,27,0,1
P0946,T3,29,0,1
P0948,T3,26,0,2
P0950,T2,37,0,2
P0952,T3,27,0,1
P0953,T3,31,0,2
P0955,T3,20,0,1
P0957,T3,38,0,2
P0962,T3,33,0,1
P0965,T2,42,0,2
P0969,T2,6,0,1
P0975,T3,14,0,1
P0978,T3,42,0,2
P0980,T3,50,0,1
P0985,T3,28,0,1
P0986,T3,14,0,1
P0987,T3,33,0,1
P0992,T2,10,0,1
P0993,T2,27,0,1
P0994,T3,27,0,1
P0995,T2,33,0,1
P0997,T2,24,0,2
P0998,T2,6,0,1
P1000,T3,12,0,1
P1004,T2,43,0,2
P1005,T2,29,0,1
P1006,T3,42,0,2
P1007,T3,39,0,1
P1009,T3,50,0,1
P1011,T3,8,0,1
P1016,T3,26,0,2
P1018,T3,15,0,1
P1022,T3,3,0,1
P1025,T3,26,0,2
P1031,T2,35,0,2
P1035,T2,40,0,1
P1036,T3,1,0,1
P1042,T3,50,0,1
P1048,T3,19,0,1
P1049,T2,31,0,3
P1050,T2,42,0,2
P1052,T2,1,0,1
P1056,T3,21,0,2
P1063,T2,40,0,2
P1068,T2,33,0,1
P1071,T3,18,0,1
P1073,T3,44,0,1
P1075,T3,7,0,1
P1076,T2,12,0,1
P1077,T3,33,0,1
P1078,T3,42,0,2
P1079,T2,37,0,1
P1080,T2,6,0,1
P1081,T2,24,0,2
P1082,T3,36,0,1
P1085,T3,41,0,1
P1086,T3,39,0,1
P1087,T3,34,0,1
P1092,T3,44,0,1
P1095,T3,40,0,1
P1099,T3,29,0,1
P1100,T3,1,0,1
P1101,T3,29,0,1
P1103,T2,41,0,1
P1108,T3,5,0,1
P1109,T3,27,0,1
P1112,T2,12,0,1
P1113,T3,31,0,2
P1114,T2,37,0,2
P1118,T3,7,0,1
P1119,T2,7,0,1
P1120,T2,7,0,1
P1122,T3,46,0,2
P1124,T2,31,0,3
P1131,T3,7,0,1
P1133,T3,21,0,2
P1135,T2,20,0,1
P1137,T3,47,0,2
P1139,T2,38,0,2
P1141,T2,10,0,1
P1144,T2,33,0,1
P1148,T3,28,0,1
P1151,T2,10,0,1
P1153,T2,38,0,2
P1156,T3,21,0,2
P1157,T3,26,0,2
P1160,T3,29,0,1
P1163,T3,40,0,1
P1164,T3,29,0,1
P1167,T3,1,0,1
P1171,T3,48,0,2
P1173,T3,44,0,1
P1174,T3,37,0,1
P1179,T3,31,0,2
P1184,T3,17,0,1
P1187,T3,12,0,1
P1188,T2,10,0,1
P1194,T2,29,0,1
P1195,T3,46,0,1
P1196,T3,7,0,1
P1198,T3,38,0,1
P1199,T3,36,0,1
P1200,T3,39,0,1
P1201,T2,25,0,2
P1203,T3,37,0,1
P1206,T2,15,0,1
P1208,T3,1,0,1
P1210,T3,12,0,1
P1213,T2,29,0,1
P1216,T2,1,0,1
P1217,T2,22,0,2
P1221,T3,50,0,1
P1226,T3,33,0,1
P1229,T3,1,0,1
P1231,T2,40,0,2
P1233,T3,19,0,1
P1235,T3,40,0,1
P1236,T3,24,0,1
P1238,T2,25,0,2
P1243,T3,7,0,1
P1247,T3,46,0,2
P1254,T2,17,0,2
P1256,T2,31,0,3
P1261,T2,22,0,2
P1264,T2,1,0,1
P1266,T3,18,0,1
P1267,T3,46,0,2
P1268,T2,30,0,2
P1269,T3,36,0,1
P1270,T3,8,0,1
P1276,T3,33,0,1
P1278,T2,20,0,1
P1284,T3,29,0,1
P1285,T2,29,0,1
P1294,T2,42,0,2
P1296,T2,5,0,2
P1300,T2,17,0,2
P1303,T3,44,0,1
P1307,T3,42,0,2
P1308,T3,46,0,2
P1310,T3,45,0,2
P1315,T2,7,0,1
P1316,T2,42,0,2
P1319,T3,12,0,1
P1322,T3,23,0,1
P1324,T3,39,0,1
P1327,T2,42,0,2
P1329,T2,7,0,1
P1333,T2,7,0,1
P1334,T3,45,0,2
P1335,T2,12,0,1
P1338,T3,20,0,1
P1339,T3,15,0,1
P1342,T2,14,0,2
P1343,T2,7,0,1
P1345,T3,29,0,1
P1347,T3,35,0,1
P1350,T3,1,0,1
P1357,T3,44,0,1
P1358,T2,7,0,1
P1364,T2,6,0,1
P1365,T2,7,0,1
P1366,T2,31,0,3
P1367,T3,15,0,1
P1368,T3,22,0,2
P1369,T2,14,0,2
P1376,T3,39,0,1
P1380,T3,43,0,1
P1381,T3,23,0,1
P1382,T2,41,0,1
P1385,T3,27,0,1
P1392,T3,21,0,2
P1394,T2,4,0,1
P1395,T3,3,0,1
P1397,T3,6,0,1
P1399,T3,6,0,1
P1402,T3,31,0,1
P1404,T3,44,0,1
P1407,T3,24,0,1
P1413,T2,33,0,1
P1422,T3,17,0,1
P1423,T3,21,0,2
P1429,T3,12,0,1
P1431,T3,3,0,1
P1435,T2,30,0,2
P1443,T2,15,0,1
P1445,T2,14,0,2
P1447,T2,33,0,1
P1450,T2,42,0,2
P1451,T2,12,0,1
P1452,T3,28,0,1
P1453,T2,8,0,1
P1458,T3,3,0,1
P1461,T3,8,0,1
P1462,T3,38,0,1
P1463,T2,10,0,1
P1464,T3,44,0,1
P1467,T2,15,0,1
P1470,T2,29,0,1
P1471,T3,28,0,1
P1474,T3,24,0,1
P1475,T3,20,0,1
P1476,T2,11,0,1
P1477,T3,50,0,1
P1479,T3,47,0,2
P1481,T2,11,0,1
P1482,T2,35,0,2
P1484,T3,50,0,1
P1488,T3,24,0,1
P1493,T3,43,0,1
P1497,T3,27,0,1
P1500,T3,29,0,1
P1504,T2,29,0,1
P1506,T2,6,0,1
P1509,T3,3,0,1
P1512,T2,15,0,1
P1515,T2,33,0,1
P1517,T3,23,0,1
P1518,T3,9,0,1
P1520,T2,39,0,2
P1521,T3,43,0,1
P1523,T3,7,0,1
P1528,T3,19,0,1
P1529,T1,1,0,1
P1534,T2,15,0,1
P1537,T3,35,0,1
P1541,T3,20,0,1
P1544,T2,11,0,1
P1549,T3,9,0,1
P1552,T3,36,0,1
P1553,T2,1,0,1
P1556,T3,47,0,2
P1559,T3,24,0,1
P1562,T2,20,0,1
P1564,T3,15,0,1
P1566,T2,29,0,1
P1567,T2,43,0,2
P1569,T2,22,0,2
P1570,T3,27,0,1
P1571,T1,1,0,1
P1574,T3,19,0,1
P1575,T2,32,0,2
P1576,T3,23,0,1
P1577,T2,11,0,1
P1579,T3,35,0,1
P1580,T3,15,0,1
P1582,T3,35,0,1
P1598,T2,43,0,2
P1601,T3,1,0,1
P1604,T2,22,0,2
P1605,T3,10,0,1
P1607,T2,29,0,1
P1608,T3,15,0,1
P1609,T3,1,0,1
P1610,T3,41,0,1
P1611,T2,4,0,1
P1612,T2,20,0,1
P1613,T3,44,0,1
P1615,T2,42,0,2
P1616,T3,44,0,1
P1625,T3,6,0,1
P1627,T2,11,0,1
P1640,T2,21,0,2
P1645,T3,13,0,1
P1650,T3,34,0,1
P1653,T3,8,0,1
P1654,T2,33,0,1
P1655,T3,12,0,1
P1661,T3,13,0,1
P1664,T3,13,0,1
P1667,T3,10,0,1
P1668,T3,19,0,1
P1671,T2,8,0,1
P1677,T2,31,0,1
P1680,T3,35,0,1
P1681,T2,17,0,2
P1682,T3,17,0,1
P1683,T2,30,0,2
P1684,T2,24,0,2
P1685,T3,3,0,1
P1686,T3,21,0,2
P1688,T3,10,0,1
P1690,T3,15,0,1
P1694,T3,8,0,1
P1697,T3,35,0,1
P1699,T2,8,0,1
P1701,T2,32,0,2
P1703,T3,30,0,2
P1705,T2,43,0,2
P1708,T2,12,0,1
P1710,T3,42,0,2
P1713,T2,8,0,1
P1714,T2,32,0,2
P1715,T3,49,0,1
P1718,T1,1,0,1
P1721,T3,23,0,1
P1723,T2,24,0,2
P1724,T3,18,0,1
P1725,T3,24,0,1
P1729,T2,14,0,2
P1734,T3,3,0,1
P1738,T3,33,0,1
P1739,T3,39,0,1
P1742,T3,47,0,2
P1743,T3,41,0,1
P1745,T3,43,0,1
P1748,T3,6,0,1
P1750,T3,49,0,1
P1752,T2,29,0,1
P1753,T3,26,0,2
P1754,T3,30,0,1
P1757,T3,1,0,1
P1758,T3,1,0,1
P1759,T3,1,0,1
P1760,T2,41,0,1
P1761,T2,22,0,2
P1763,T3,41,0,1
P1766,T2,20,0,1
P1767,T3,37,0,1
P1771,T3,30,0,1
P1772,T2,15,0,1
P1773,T2,14,0,2
P1774,T2,6,0,1
P1778,T3,36,0,1
P1782,T2,6,0,1
P1785,T2,21,0,2
P1790,T2,8,0,1
P1793,T3,18,0,1
P1794,T2,8,0,1
P1797,T3,7,0,1
P1801,T3,15,0,1
P1803,T2,21,0,2
P1804,T3,39,0,1
P1805,T3,40,0,1
P1806,T2,16,0,1
P1807,T3,32,0,1
P1811,T2,18,0,2
P1814,T2,14,0,2
P1817,T3,34,0,1
P1827,T2,34,0,2
P1828,T3,17,0,1
P1832,T3,27,0,1
P1838,T3,30,0,2
P1839,T3,44,0,1
P1841,T2,14,0,2
P1846,T3,6,0,1
P1847,T3,23,0,1
P1848,T3,1,0,1
P1850,T3,47,0,2
P1853,T3,40,0,1
P1854,T2,13,0,1
P1855,T2,42,0,2
P1856,T3,17,0,1
P1857,T2,8,0,1
P1858,T2,20,0,1
P1859,T2,15,0,1
P1864,T3,9,0,1
P1866,T3,32,0,1
P1867,T3,17,0,1
P1870,T2,22,0,2
P1872,T3,2,0,1
P1878,T3,33,0,1
P1883,T3,17,0,1
P1884,T3,26,0,2
P1886,T2,34,0,1
P1890,T3,36,0,1
P1891,T3,9,0,1
P1895,T3,13,0,1
P1897,T2,5,0,2
P1900,T2,11,0,1
P1902,T3,40,0,1
P1904,T3,19,0,1
P1905,T2,32,0,1
P1906,T2,12,0,1
P1907,T3,45,0,1
P1908,T2,43,0,2
P1910,T3,42,0,2
P1913,T2,27,0,1
P1916,T3,21,0,2
P1919,T3,33,0,1
P1921,T3,13,0,1
P1926,T2,27,0,2
P1933,T2,3,0,1
P1936,T3,24,0,1
P1940,T2,18,0,2
P1944,T2,25,0,2
P1945,T3,20,0,1
P1948,T3,48,0,2
P1949,T3,41,0,1
P1954,T3,3,0,1
P1956,T3,33,0,1
P1959,T3,27,0,1
P1960,T2,41,0,1
P1962,T2,26,0,2
P1968,T3,10,0,1
P1969,T3,24,0,1
P1978,T3,47,0,2
P1981,T3,44,0,1
P1982,T3,13,0,1
P1984,T2,11,0,1
P1987,T3,15,0,1
P1988,T2,12,0,1
P1991,T3,19,0,1
P1992,T2,5,0,2
P1994,T3,21,0,2
P2017,T2,25,0,2
P2018,T3,21,0,2
P2022,T2,22,0,2
P2023,T3,26,0,2
P2024,T3,3,0,1
P2026,T3,39,0,1
P2027,T2,3,0,1
P2028,T3,3,0,1
P2030,T3,3,0,1
P2031,T2,30,0,2
P2032,T3,15,0,1
P2034,T2,8,0,1
P2036,T2,41,0,1
P2037,T2,25,0,2
P2038,T3,15,0,1
P2039,T3,2,0,1
P2041,T3,10,0,1
P2042,T3,22,0,2
P2043,T3,43,0,1
P2044,T2,5,0,2
P2045,T2,19,0,2
P2047,T2,27,0,1
P2048,T3,50,0,1
P2051,T2,11,0,1
P2055,T3,17,0,1
P2056,T2,18,0,2
P2057,T2,8,0,1
P2058,T2,19,0,2
P2059,T2,26,0,2
P2061,T2,5,0,2
P2062,T2,3,0,1
P2064,T3,26,0,2
P2065,T3,18,0,1
P2076,T2,12,0,1
P2077,T3,9,0,1
P2078,T2,28,0,2
P2079,T2,32,0,2
P2086,T3,39,0,1
P2088,T3,32,0,1
P2091,T2,6,0,1
P2093,T3,37,0,1
P2094,T2,43,0,2
P2096,T2,3,0,1
P2097,T2,17,0,2
P2098,T3,39,0,1
P2101,T2,34,0,2
P2102,T3,6,0,1
P2103,T2,28,0,2
P2104,T2,18,0,2
P2105,T2,22,0,2
P2106,T3,9,0,1
P2110,T3,44,0,1
P2111,T2,25,0,2
P2116,T2,32,0,2
P2119,T3,3,0,1
P2120,T3,40,0,1
P2122,T3,27,0,1
P2127,T3,40,0,1
P2129,T3,23,0,1
P2131,T3,11,0,1
P2137,T3,43,0,1
P2138,T2,40,0,1
P2139,T3,43,0,1
P2143,T3,13,0,1
P2145,T2,25,0,2
P2152,T3,43,0,1
P2154,T2,27,0,1
P2156,T2,22,0,2
P2157,T2,18,0,2
P2159,T3,24,0,1
P2163,T3,41,0,1
P2165,T2,3,0,1
P2166,T3,24,0,1
P2171,T3,17,0,1
P2172,T2,16,0,1
P2173,T2,1,0,1
P2178,T3,47,0,2
P2183,T2,2,0,1
P2185,T3,35,0,1
P2186,T3,36,0,1
P2192,T3,35,0,1
P2194,T3,28,0,1
P2195,T2,32,0,1
P2198,T2,39,0,2
P2202,T2,3,0,1
P2206,T3,48,0,2
P2207,T2,37,0,1
P2208,T3,5,0,1
P2216,T2,8,0,1
P2217,T2,26,0,2
P2218,T2,26,0,2
P2224,T2,16,0,1
P2227,T3,35,0,1
P2228,T2,26,0,2
P2229,T3,43,0,1
P2230,T2,12,0,1
P2239,T2,32,0,2
P2241,T3,15,0,1
P2243,T3,22,0,2
P2248,T2,15,0,1
P2250,T3,9,0,1
P2253,T3,28,0,1
P2257,T3,32,0,1
P2258,T2,11,0,1
P2261,T2,19,0,2
P2262,T3,47,0,2
P2265,T3,9,0,1
P2272,T3,18,0,1
P2274,T3,19,0,1
P2275,T2,19,0,2
P2278,T3,6,0,1
P2282,T3,25,0,1
P2283,T3,12,0,1
P2287,T2,8,0,1
P2291,T2,19,0,2
P2292,T3,13,0,1
P2293,T3,22,0,2
P2294,T2,18,0,2
P2295,T3,41,0,1
P2301,T3,32,0,1
P2309,T2,37,0,1
P2314,T2,35,0,2
P2315,T2,40,0,2
P2317,T2,11,0,1
P2318,T3,3,0,1
P2321,T3,27,0,1
P2323,T3,15,0,1
P2326,T3,2,0,1
P2330,T3,37,0,2
P2331,T2,25,0,2
P2333,T2,11,0,1
P2334,T2,3,0,1
P2336,T3,9,0,1
P2339,T3,12,0,1
P2343,T2,5,0,2
P2346,T3,19,0,1
P2347,T3,17,0,1
P2351,T2,17,0,2
P2355,T2,16,0,1
P2358,T2,13,0,1
P2359,T2,25,0,2
P2362,T2,2,0,1
P2364,T2,41,0,1
P2365,T3,26,0,2
P2368,T3,12,0,1
P2369,T2,22,0,2
P2372,T3,6,0,1
P2374,T3,49,0,1
P2378,T2,40,0,1
P2382,T2,11,0,1
P2386,T3,49,0,1
P2389,T3,20,0,1
P2393,T2,11,0,1
P2395,T2,22,0,2
P2396,T2,23,0,2
P2397,T3,38,0,1
P2400,T3,8,0,1
P2401,T2,13,0,1
P2407,T2,14,0,2
P2408,T2,28,0,1
P2409,T3,30,0,1
P2410,T3,2,0,1
P2413,T2,32,0,2
P2415,T3,41,0,1
P2416,T3,2,0,1
P2419,T2,23,0,2
P2422,T2,18,0,2
P2425,T2,11,0,1
P2426,T3,19,0,1
P2429,T2,9,0,1
P2432,T2,16,0,1
P2433,T2,33,0,1
P2435,T2,18,0,2
P2440,T2,12,0,1
P2442,T3,48,0,2
P2446,T3,25,0,1
P2447,T3,40,0,1
P2448,T2,19,0,2
P2450,T2,19,0,2
P2453,T3,39,0,1
P2456,T2,18,0,2
P2457,T3,20,0,1
P2462,T2,11,0,1
P2463,T2,5,0,2
P2464,T2,38,0,2
P2466,T3,20,0,1
P2469,T2,8,0,1
P2470,T3,8,0,1
P2471,T3,13,0,1
P2472,T3,35,0,1
P2474,T3,28,0,1
P2477,T3,48,0,2
P2481,T2,23,0,2
P2485,T3,26,0,2
P2487,T2,2,0,1
P2488,T3,13,0,1
P2490,T3,25,0,1
P2493,T2,18,0,2
P2495,T3,10,0,1
P2499,T3,43,0,1
P2500,T3,36,0,1
P2503,T3,12,0,1
P2506,T3,3,0,1
P2512,T3,40,0,1
P2514,T3,15,0,1
P2517,T3,32,0,1
P2518,T2,33,0,1
P2521,T3,37,0,1
P2527,T3,23,0,1
P2531,T2,19,0,2
P2535,T2,32,0,1
P2536,T3,20,0,1
P2537,T3,29,0,2
P2538,T3,23,0,1
P2540,T2,3,0,1
P2543,T2,8,0,1
P2544,T2,27,0,1
P2548,T2,13,0,1
P2549,T3,9,0,1
P2551,T2,2,0,1
P2555,T3,49,0,1
P2558,T2,26,0,2
P2561,T3,40,0,1
P2562,T2,26,0,2
P2564,T2,13,0,1
P2571,T2,13,0,1
P2572,T2,32,0,1
P2573,T3,18,0,1
P2577,T3,9,0,1
P2578,T2,11,0,1
P2580,T3,15,0,1
P2586,T3,7,0,1
P2590,T3,33,0,1
P2595,T3,3,0,1
P2597,T3,16,0,1
P2598,T2,31,0,1
P2599,T3,36,0,1
P2601,T3,4,0,1
P2604,T2,23,0,2
P2611,T2,20,0,1
P2614,T3,32,0,1
P2615,T3,9,0,1
P2617,T3,33,0,1
P2618,T3,25,0,1
P2619,T2,23,0,2
P2620,T3,22,0,2
P2625,T3,30,0,1
P2627,T3,17,0,1
P2632,T3,10,0,1
P2633,T3,15,0,1
P2636,T3,48,0,2
P2637,T3,15,0,1
P2642,T2,16,0,1
P2643,T2,20,0,1
P2644,T3,32,0,1
P2647,T3,27,0,1
P2648,T3,48,0,2
P2649,T3,25,0,1
P2650,T3,47,0,2
P2654,T3,26,0,2
P2657,T2,8,0,1
P2661,T2,3,0,1
P2663,T3,23,0,1
P2665,T3,4,0,1
P2667,T2,42,0,1
P2669,T2,2,0,1
P2672,T3,27,0,1
P2674,T2,20,0,1
P2675,T3,15,0,1
P2677,T3,23,0,1
P2678,T2,33,0,1
P2681,T2,18,0,2
P2682,T3,43,0,1
P2683,T2,34,0,2
P2688,T3,2,0,1
P2689,T3,32,0,1
P2691,T3,12,0,1
P2692,T2,23,0,2
P2695,T3,5,0,1
