题目,排名,起点,终点,运输方向,需求人数,需求占比,累计需求占比,人员ID列表
问题2,6,F002,LAND,海返,40,0.01,0.06625,P0051|P0062|P0100|P0548|P0684|P0690|P0727|P0789|P0891|P0900|P0924|P1155|P1169|P1465|P1561|P1818|P1845|P1929|P1999|P2235|P2266|P2454|P2458|P2460|P2465|P2507|P2523|P2729|P2875|P2952|P2959|P3035|P3064|P3248|P3387|P3446|P3474|P3670|P3773|P3965
问题2,7,F036,LAND,海返,40,0.01,0.07625,P0248|P0271|P0286|P0609|P0754|P0837|P1032|P1038|P1362|P1457|P1617|P1619|P1636|P1637|P1741|P1755|P1819|P1830|P1941|P2070|P2135|P2142|P2158|P2221|P2245|P2297|P2406|P2478|P2563|P2583|P2679|P2708|P2890|P2997|P3207|P3272|P3342|P3479|P3590|P3697
问题2,8,F022,LAND,海返,39,0.00975,0.086,P0232|P0334|P0427|P0447|P0713|P0844|P1091|P1295|P1538|P1621|P1792|P1835|P1874|P1996|P2000|P2009|P2068|P2075|P2124|P2298|P2361|P2484|P2545|P2616|P2626|P2646|P2680|P2852|P2944|P3128|P3351|P3373|P3454|P3659|P3689|P3783|P3806|P3863|P3902
问题2,9,F019,LAND,海返,38,0.0095,0.0955,P0025|P0041|P0063|P0204|P0278|P0327|P0359|P0412|P0432|P0539|P0846|P1297|P1352|P1434|P1516|P1532|P1812|P2015|P2085|P2179|P2201|P2270|P2325|P2332|P2354|P2399|P2417|P2593|P2872|P2888|P2921|P3010|P3056|P3147|P3398|P3484|P3630|P3832
问题2,10,LAND,F001,出海,38,0.0095,0.105,P0081|P0402|P0512|P0575|P0602|P0607|P0796|P1036|P1100|P1167|P1208|P1229|P1350|P1601|P1609|P1757|P1758|P1759|P1848|P1872|P2039|P2326|P2410|P2416|P2688|P2866|P2928|P2996|P3050|P3077|P3125|P3138|P3362|P3418|P3425|P3457|P3636|P3940
问题2,11,LAND,F002,出海,38,0.0095,0.1145,P0020|P0027|P0659|P0680|P1022|P1395|P1431|P1458|P1509|P1685|P1734|P1954|P2024|P2028|P2030|P2119|P2318|P2506|P2595|P2601|P2665|P2702|P2715|P2717|P2723|P2724|P2829|P2880|P2938|P3025|P3055|P3437|P3518|P3779|P3875|P3884|P3888|P3968
问题2,12,F001,LAND,海返,35,0.00875,0.12325,P0032|P0127|P0157|P0231|P0431|P0464|P0577|P0586|P0699|P0742|P0866|P1029|P1061|P1123|P1214|P1242|P1414|P1472|P1875|P2304|P2307|P2348|P2356|P2684|P2780|P3172|P3217|P3237|P3252|P3527|P3553|P3679|P3796|P3830|P3936
问题2,13,LAND,F036,出海,34,0.0085,0.13175,P0215|P0369|P0388|P0435|P0496|P0552|P0689|P0872|P0888|P0889|P0921|P1122|P1247|P1267|P1308|P1322|P1381|P1517|P1576|P1721|P1847|P2129|P2527|P2538|P2663|P2677|P2974|P3022|P3169|P3330|P3370|P3505|P3507|P3758
问题2,14,F034,LAND,海返,33,0.00825,0.14,P0088|P0142|P0312|P0361|P0362|P0429|P0481|P0534|P0674|P0883|P0910|P1302|P1336|P1466|P1557|P1560|P1706|P1979|P2182|P2204|P2353|P2439|P2608|P2761|P2986|P3400|P3455|P3620|P3702|P3713|P3720|P3907|P3927
问题2,15,LAND,F018,出海,33,0.00825,0.14825,P0138|P0147|P0253|P0371|P0382|P0445|P0472|P0703|P0757|P0792|P1005|P1194|P1213|P1285|P1470|P1504|P1566|P1607|P1752|P1807|P1866|P2088|P2257|P2301|P2614|P2644|P2689|P2904|P3312|P3329|P3381|P3422|P3685
问题2,16,LAND,F019,出海,33,0.00825,0.1565,P0045|P0134|P0344|P0493|P0572|P0946|P1099|P1101|P1160|P1164|P1284|P1345|P1500|P1645|P1661|P1664|P1895|P1921|P1982|P2143|P2292|P2471|P2488|P2873|P3264|P3265|P3441|P3533|P3546|P3752|P3859|P3935|P3982
问题2,17,LAND,F034,出海,33,0.00825,0.16475,P0007|P0065|P0066|P0083|P0116|P0305|P0404|P0451|P0743|P0896|P1056|P1133|P1156|P1392|P1423|P1686|P1916|P1994|P2018|P2042|P2243|P2293|P2620|P2853|P2896|P3062|P3282|P3365|P3420|P3461|P3757|P3879|P3911
问题2,18,F027,LAND,海返,32,0.008,0.17275,P0120|P0723|P0752|P0864|P0958|P0960|P0989|P0991|P1014|P1054|P1165|P1373|P1535|P1663|P1716|P1746|P1882|P1915|P2162|P2312|P2744|P3019|P3187|P3232|P3259|P3667|P3821|P3831|P3870|P3883|P3958|P3980
问题2,19,F044,LAND,海返,31,0.00775,0.1805,P0039|P0119|P0135|P0156|P0265|P0274|P0384|P0503|P0579|P0951|P1125|P1212|P1328|P1396|P1459|P2151|P2169|P2296|P2320|P2327|P2345|P2385|P2713|P2804|P3030|P3065|P3069|P3099|P3183|P3742|P3825
问题2,20,LAND,F039,出海,31,0.00775,0.18825,P0097|P0714|P0855|P1236|P1407|P1474|P1488|P1559|P1725|P1936|P1969|P2166|P2282|P2446|P2490|P2618|P2649|P2721|P2742|P2799|P2828|P2913|P2968|P3067|P3213|P3348|P3462|P3469|P3538|P3588|P3856
问题2,21,LAND,F051,出海,31,0.00775,0.196,P0102|P0184|P0349|P0446|P0462|P0502|P0530|P0541|P0797|P0904|P0997|P1081|P1684|P1723|P1926|P1962|P2059|P2217|P2218|P2228|P2558|P2562|P2726|P2847|P2930|P2945|P3082|P3167|P3184|P3253|P3947
问题2,22,F018,LAND,海返,30,0.0075,0.2035,P0006|P0105|P0176|P0280|P0331|P0363|P0725|P0771|P1152|P1190|P1228|P1448|P1770|P1852|P1964|P2256|P2430|P2532|P2557|P2587|P2697|P2887|P3032|P3047|P3162|P3500|P3549|P3629|P3653|P3890
问题2,23,F048,LAND,海返,30,0.0075,0.211,P0034|P0047|P0316|P0457|P0500|P0787|P0813|P1246|P1281|P1298|P1416|P1446|P1495|P1720|P1834|P1879|P1950|P1986|P2004|P2322|P2515|P2516|P2556|P2817|P2948|P2983|P3024|P3449|P3617|P3913
问题2,24,LAND,F006,出海,30,0.0075,0.2185,P0042|P0044|P0089|P0113|P0151|P0158|P0186|P0244|P0393|P0718|P0863|P1394|P1397|P1399|P1625|P1748|P1846|P2102|P2278|P2372|P2718|P2885|P3088|P3394|P3551|P3575|P3586|P3811|P3843|P3852
问题2,25,F039,LAND,海返,29,0.00725,0.22575,P0084|P0264|P0325|P0364|P0420|P1191|P1197|P1219|P1323|P1485|P1522|P1815|P1824|P1942|P2222|P2305|P2513|P2886|P2987|P3221|P3286|P3333|P3393|P3444|P3597|P3745|P3759|P3801|P3962
问题2,26,F025,LAND,海返,28,0.007,0.23275,P0171|P0185|P0354|P0408|P0533|P0553|P0581|P0653|P0664|P0759|P0774|P1002|P1220|P1486|P1776|P1816|P1927|P2113|P2215|P2249|P2575|P2976|P3081|P3397|P3426|P3499|P3523|P3827
问题2,27,F038,LAND,海返,28,0.007,0.23975,P0010|P0098|P0208|P0425|P0443|P0478|P0676|P0758|P0854|P0968|P1107|P1346|P1398|P1442|P1501|P1700|P1840|P1885|P2117|P2247|P2284|P2357|P2449|P2685|P2856|P2865|P3376|P3451
