起点,终点,需求人数,候选人员对数量,时间窗重叠人员对数量,两两时间窗重叠率,共同时间窗长度（分钟）
F001,F005,11,55,55,1.0,1474
F001,F016,18,153,153,1.0,77
F001,LAND,35,595,232,0.3899159663865546,0
F002,A01,4,6,1,0.16666666666666666,0
F002,F003,9,36,36,1.0,93
F002,F004,11,55,55,1.0,1481
F002,LAND,40,780,376,0.48205128205128206,0
F003,A01,3,3,3,1.0,168
F003,F007,19,171,171,1.0,79
F003,F008,14,91,91,1.0,65
F003,LAND,17,136,69,0.5073529411764706,0
F004,A01,3,3,3,1.0,1527
F004,F007,19,171,171,1.0,25
F004,LAND,23,253,133,0.525691699604743,0
F005,A01,4,6,2,0.3333333333333333,0
F005,F017,9,36,36,1.0,50
F005,LAND,26,325,173,0.5323076923076923,0
F006,A01,5,10,4,0.4,0
F006,F007,11,55,55,1.0,29
F006,LAND,26,325,171,0.5261538461538462,0
F007,A01,6,15,7,0.4666666666666667,0
F007,F002,16,120,120,1.0,85
F007,LAND,23,253,127,0.5019762845849802,0
F008,A01,4,6,2,0.3333333333333333,0
F008,F003,13,78,78,1.0,1451
F008,LAND,16,120,57,0.475,0
F009,A01,3,3,1,0.3333333333333333,0
F009,F003,14,91,91,1.0,92
F009,LAND,23,253,123,0.48616600790513836,0
F010,A01,3,3,3,1.0,144
F010,F007,16,120,120,1.0,105
F010,LAND,26,325,162,0.49846153846153846,0
F011,A01,3,3,1,0.3333333333333333,0
F011,F015,11,55,55,1.0,1448
F011,LAND,27,351,171,0.48717948717948717,0
F012,A01,8,28,16,0.5714285714285714,0
F012,F015,14,91,91,1.0,1449
F012,LAND,25,300,146,0.4866666666666667,0
F013,A01,1,0,0,1.0,2969
F013,F002,16,120,120,1.0,1462
F013,LAND,24,276,198,0.717391304347826,0
F014,A01,6,15,10,0.6666666666666666,0
F014,F017,9,36,36,1.0,124
F014,LAND,24,276,133,0.48188405797101447,0
F015,A01,4,6,3,0.5,0
F015,F009,13,78,78,1.0,28
F015,LAND,19,171,91,0.5321637426900585,0
F016,A01,4,6,3,0.5,0
F016,F005,14,91,91,1.0,79
F016,LAND,22,231,138,0.5974025974025974,0
F017,A01,3,3,1,0.3333333333333333,0
F017,F014,18,153,153,1.0,74
F017,LAND,25,300,202,0.6733333333333333,0
F018,A02,6,15,4,0.26666666666666666,0
F018,F026,11,55,55,1.0,84
F018,LAND,30,435,172,0.3954022988505747,0
F019,A02,6,15,6,0.4,0
F019,F033,15,105,105,1.0,52
F019,LAND,38,703,298,0.4238975817923186,0
F020,A02,4,6,4,0.6666666666666666,0
F020,F019,15,105,105,1.0,68
F020,LAND,45,990,433,0.43737373737373736,0
F021,A02,9,36,14,0.3888888888888889,0
F021,F027,14,91,91,1.0,51
F021,LAND,44,946,388,0.41014799154334036,0
F022,A02,6,15,7,0.4666666666666667,0
F022,F033,10,45,45,1.0,97
F022,LAND,39,741,478,0.6450742240215924,0
F023,A02,6,15,7,0.4666666666666667,0
F023,F032,15,105,105,1.0,64
F023,LAND,22,231,111,0.4805194805194805,0
F024,A02,5,10,4,0.4,0
F024,F027,12,66,66,1.0,90
F024,LAND,23,253,138,0.5454545454545454,0
F025,A02,1,0,0,1.0,2936
F025,F027,11,55,55,1.0,88
F025,LAND,28,378,207,0.5476190476190477,0
F026,A02,8,28,19,0.6785714285714286,0
F026,F033,15,105,105,1.0,70
F026,LAND,24,276,166,0.6014492753623188,0
F027,A02,4,6,2,0.3333333333333333,0
F027,F021,11,55,55,1.0,85
F027,LAND,32,496,240,0.4838709677419355,0
F028,A02,5,10,6,0.6,0
F028,F018,16,120,120,1.0,104
F028,LAND,24,276,220,0.7971014492753623,0
F029,A02,1,0,0,1.0,186
F029,F021,10,45,45,1.0,1445
F029,LAND,23,253,153,0.6047430830039525,0
F030,A02,3,3,1,0.3333333333333333,0
F030,F026,18,153,153,1.0,70
F030,LAND,27,351,224,0.6381766381766382,0
F031,A02,8,28,18,0.6428571428571429,0
F031,F021,16,120,120,1.0,22
F031,LAND,23,253,148,0.5849802371541502,0
F032,A02,4,6,3,0.5,0
F032,F025,14,91,91,1.0,939
F032,LAND,25,300,175,0.5833333333333334,0
F033,A02,5,10,4,0.4,0
F033,LAND,27,351,206,0.5868945868945868,0
F034,A02,3,3,1,0.3333333333333333,0
F034,LAND,33,528,301,0.5700757575757576,0
F035,A02,1,0,0,1.0,4407
F035,LAND,22,231,140,0.6060606060606061,0
F036,A03,6,15,4,0.26666666666666666,0
F036,F046,10,45,45,1.0,31
F036,F049,12,66,66,1.0,67
F036,LAND,40,780,324,0.4153846153846154,0
F037,A03,1,0,0,1.0,4442
F037,F040,14,91,91,1.0,69
F037,F044,14,91,91,1.0,895
F037,LAND,27,351,213,0.6068376068376068,0
F038,A03,6,15,6,0.4,0
F038,F039,19,171,171,1.0,98
F038,F045,19,171,171,1.0,59
F038,LAND,28,378,194,0.5132275132275133,0
F039,A03,6,15,10,0.6666666666666666,0
F039,F048,18,153,153,1.0,983
F039,F052,13,78,78,1.0,55
F039,LAND,29,406,208,0.5123152709359606,0
F040,A03,7,21,15,0.7142857142857143,0
F040,F041,15,105,105,1.0,49
F040,LAND,22,231,116,0.5021645021645021,0
F041,A03,3,3,1,0.3333333333333333,0
F041,F045,16,120,120,1.0,79
F041,LAND,17,136,72,0.5294117647058824,0
F042,A03,5,10,6,0.6,0
F042,F040,17,136,136,1.0,67
F042,LAND,19,171,88,0.5146198830409356,0
F043,A03,7,21,11,0.5238095238095238,0
F043,F051,19,171,171,1.0,1452
F043,LAND,23,253,137,0.541501976284585,0
F044,A03,4,6,4,0.6666666666666666,0
F044,F037,11,55,55,1.0,1453
F044,LAND,31,465,290,0.6236559139784946,0
F045,A03,7,21,9,0.42857142857142855,0
F045,F048,13,78,78,1.0,1474
F045,LAND,27,351,173,0.4928774928774929,0
F046,A03,5,10,6,0.6,0
F046,F047,18,153,153,1.0,1445
F046,LAND,14,91,47,0.5164835164835165,0
F047,A03,1,0,0,1.0,3609
F047,F049,15,105,105,1.0,24
F047,LAND,18,153,88,0.5751633986928104,0
F048,A03,3,3,1,0.3333333333333333,0
F048,F039,18,153,153,1.0,62
F048,LAND,30,435,262,0.6022988505747127,0
F049,A03,2,1,0,0.0,0
F049,F048,14,91,91,1.0,74
F049,LAND,28,378,205,0.5423280423280423,0
F050,A03,6,15,6,0.4,0
F050,F043,15,105,105,1.0,98
F050,LAND,18,153,76,0.49673202614379086,0
F051,A03,6,15,10,0.6666666666666666,0
F051,F038,15,105,105,1.0,54
F051,LAND,24,276,138,0.5,0
F052,A03,4,6,3,0.5,0
F052,F048,17,136,136,1.0,69
F052,LAND,22,231,151,0.6536796536796536,0
LAND,F001,38,703,249,0.3541963015647226,0
LAND,F002,38,703,334,0.4751066856330014,0
LAND,F003,15,105,49,0.4666666666666667,0
LAND,F004,23,253,127,0.5019762845849802,0
LAND,F005,24,276,136,0.4927536231884058,0
LAND,F006,30,435,220,0.5057471264367817,0
LAND,F007,22,231,126,0.5454545454545454,0
LAND,F008,17,136,64,0.47058823529411764,0
LAND,F009,24,276,141,0.5108695652173914,0
LAND,F010,27,351,169,0.48148148148148145,0
LAND,F011,23,253,143,0.5652173913043478,0
LAND,F012,27,351,169,0.48148148148148145,0
LAND,F013,26,325,193,0.5938461538461538,0
LAND,F014,25,300,164,0.5466666666666666,0
LAND,F015,17,136,64,0.47058823529411764,0
LAND,F016,22,231,159,0.6883116883116883,0
LAND,F017,22,231,150,0.6493506493506493,0
LAND,F018,33,528,184,0.3484848484848485,0
LAND,F019,33,528,218,0.4128787878787879,0
LAND,F020,44,946,404,0.427061310782241,0
LAND,F021,47,1081,466,0.43108233117483813,0
LAND,F022,45,990,468,0.4727272727272727,0
LAND,F023,21,210,100,0.47619047619047616,0
LAND,F024,18,153,81,0.5294117647058824,0
LAND,F025,24,276,177,0.6413043478260869,0
LAND,F026,28,378,228,0.6031746031746031,0
LAND,F027,26,325,181,0.556923076923077,0
LAND,F028,26,325,260,0.8,0
LAND,F029,19,171,101,0.5906432748538012,0
LAND,F030,25,300,152,0.5066666666666667,0
LAND,F031,25,300,156,0.52,0
LAND,F032,25,300,179,0.5966666666666667,0
LAND,F033,26,325,210,0.6461538461538462,0
LAND,F034,33,528,305,0.5776515151515151,0
LAND,F035,18,153,81,0.5294117647058824,0
LAND,F036,34,561,214,0.38146167557932265,0
LAND,F037,24,276,168,0.6086956521739131,0
LAND,F038,24,276,150,0.5434782608695652,0
LAND,F039,31,465,225,0.4838709677419355,0
LAND,F040,22,231,126,0.5454545454545454,0
LAND,F041,18,153,87,0.5686274509803921,0
LAND,F042,19,171,97,0.5672514619883041,0
LAND,F043,24,276,165,0.5978260869565217,0
LAND,F044,27,351,243,0.6923076923076923,0
LAND,F045,28,378,186,0.49206349206349204,0
LAND,F046,19,171,101,0.5906432748538012,0
LAND,F047,18,153,99,0.6470588235294118,0
LAND,F048,27,351,258,0.7350427350427351,0
LAND,F049,28,378,194,0.5132275132275133,0
LAND,F050,20,190,91,0.4789473684210526,0
LAND,F051,31,465,234,0.5032258064516129,0
LAND,F052,23,253,151,0.5968379446640316,0
