aircraft_type,airport,refuel_facility,two_stop_supported_target_count,supported_targets
T3,A01,F024,43,F001|F002|F003|F004|F005|F006|F007|F008|F009|F010|F011|F012|F014|F015|F016|F017|F018|F019|F020|F021|F022|F023|F025|F026|F027|F028|F029|F030|F031|F032|F033|F034|F035|F036|F038|F039|F045|F046|F047|F048|F049|F051|F052
T3,A01,F031,42,F001|F003|F004|F005|F008|F009|F010|F011|F012|F014|F015|F016|F017|F018|F019|F020|F021|F022|F023|F024|F025|F026|F027|F028|F029|F030|F032|F033|F034|F035|F036|F038|F039|F041|F043|F045|F046|F047|F048|F049|F051|F052
T3,A01,F038,38,F001|F005|F009|F012|F014|F015|F016|F017|F018|F019|F020|F021|F022|F023|F024|F025|F026|F027|F029|F030|F031|F032|F033|F034|F035|F036|F039|F040|F041|F043|F044|F045|F046|F047|F048|F049|F051|F052
T3,A01,F044,29,F016|F017|F019|F020|F021|F022|F023|F024|F025|F027|F029|F031|F032|F035|F036|F037|F038|F039|F040|F041|F042|F043|F045|F046|F047|F048|F049|F051|F052
T3,A01,F050,15,F037|F038|F039|F040|F041|F042|F043|F044|F045|F046|F047|F048|F049|F051|F052
T3,A02,F006,30,F001|F002|F003|F004|F005|F007|F008|F009|F010|F011|F012|F013|F014|F015|F016|F017|F018|F019|F020|F021|F022|F024|F025|F026|F027|F028|F029|F030|F033|F034
T3,A02,F011,35,F001|F002|F003|F004|F005|F006|F007|F008|F009|F010|F012|F013|F014|F015|F016|F017|F018|F019|F020|F021|F022|F024|F025|F026|F027|F028|F029|F030|F031|F033|F034|F035|F036|F046|F047
T3,A02,F018,40,F001|F002|F003|F004|F005|F006|F007|F008|F009|F010|F011|F012|F014|F015|F016|F017|F019|F020|F021|F022|F023|F024|F025|F026|F027|F028|F029|F030|F031|F032|F033|F034|F035|F036|F039|F046|F047|F048|F049|F052
T3,A02,F024,40,F001|F003|F004|F005|F008|F009|F010|F011|F012|F014|F015|F016|F017|F018|F019|F020|F021|F022|F023|F025|F026|F027|F028|F029|F030|F031|F032|F033|F034|F035|F036|F038|F039|F045|F046|F047|F048|F049|F051|F052
T3,A02,F031,38,F001|F005|F009|F011|F012|F014|F015|F016|F017|F018|F019|F020|F021|F022|F023|F024|F025|F026|F027|F028|F029|F030|F032|F033|F034|F035|F036|F038|F039|F041|F043|F045|F046|F047|F048|F049|F051|F052
T3,A02,F038,36,F001|F005|F012|F014|F016|F017|F018|F019|F020|F021|F022|F023|F024|F025|F026|F027|F029|F030|F031|F032|F033|F034|F035|F036|F039|F040|F041|F043|F044|F045|F046|F047|F048|F049|F051|F052
T3,A02,F044,28,F017|F019|F020|F021|F022|F023|F024|F025|F027|F029|F031|F032|F035|F036|F037|F038|F039|F040|F041|F042|F043|F045|F046|F047|F048|F049|F051|F052
T3,A02,F050,15,F037|F038|F039|F040|F041|F042|F043|F044|F045|F046|F047|F048|F049|F051|F052
T3,A03,F006,28,F001|F002|F003|F004|F005|F007|F008|F009|F010|F011|F012|F013|F014|F015|F016|F017|F018|F019|F020|F022|F024|F025|F026|F027|F028|F029|F030|F033
T3,A03,F011,34,F001|F002|F003|F004|F005|F006|F007|F008|F009|F010|F012|F013|F014|F015|F016|F017|F018|F019|F020|F021|F022|F024|F025|F026|F027|F028|F029|F030|F031|F033|F034|F035|F036|F046
T3,A03,F018,40,F001|F002|F003|F004|F005|F006|F007|F008|F009|F010|F011|F012|F014|F015|F016|F017|F019|F020|F021|F022|F023|F024|F025|F026|F027|F028|F029|F030|F031|F032|F033|F034|F035|F036|F039|F046|F047|F048|F049|F052
T3,A03,F024,38,F001|F003|F005|F008|F009|F011|F012|F014|F015|F016|F017|F018|F019|F020|F021|F022|F023|F025|F026|F027|F028|F029|F030|F031|F032|F033|F034|F035|F036|F038|F039|F045|F046|F047|F048|F049|F051|F052
T3,A03,F031,37,F001|F005|F009|F012|F014|F015|F016|F017|F018|F019|F020|F021|F022|F023|F024|F025|F026|F027|F029|F030|F032|F033|F034|F035|F036|F038|F039|F041|F043|F044|F045|F046|F047|F048|F049|F051|F052
T3,A03,F038,32,F001|F016|F017|F019|F020|F021|F022|F023|F024|F025|F026|F027|F029|F030|F031|F032|F033|F034|F035|F036|F039|F040|F041|F043|F044|F045|F046|F047|F048|F049|F051|F052
T3,A03,F044,24,F021|F023|F024|F025|F027|F029|F031|F032|F035|F036|F037|F038|F039|F040|F041|F042|F043|F045|F046|F047|F048|F049|F051|F052
T3,A03,F050,15,F037|F038|F039|F040|F041|F042|F043|F044|F045|F046|F047|F048|F049|F051|F052
