aircraft_type,airport,facility,closed_route_feasible_within_5_stops,minimum_sea_stops_with_refuel_allowed,closed_route_feasible_without_refuel,minimum_sea_stops_without_refuel,refuel_required_for_closed_route
T2,A01,F047,1,2,0,,1
T2,A01,F048,1,2,0,,1
T2,A01,F049,1,2,0,,1
T2,A01,F050,1,3,0,,1
T2,A01,F051,1,2,0,,1
T2,A01,F052,1,2,0,,1
T2,A02,F001,1,2,0,,1
T2,A02,F002,1,2,0,,1
T2,A02,F003,1,2,0,,1
T2,A02,F004,1,2,0,,1
T2,A02,F005,1,2,0,,1
T2,A02,F006,1,1,0,,1
T2,A02,F007,1,2,0,,1
T2,A02,F008,1,2,0,,1
T2,A02,F009,1,1,1,1,0
T2,A02,F010,1,2,0,,1
T2,A02,F011,1,1,0,,1
T2,A02,F012,1,2,0,,1
T2,A02,F013,1,2,0,,1
T2,A02,F014,1,1,1,1,0
T2,A02,F015,1,2,0,,1
T2,A02,F016,1,1,1,1,0
T2,A02,F017,1,1,1,1,0
T2,A02,F018,1,1,0,,1
T2,A02,F019,1,2,0,,1
T2,A02,F020,1,1,1,1,0
T2,A02,F021,1,2,0,,1
T2,A02,F022,1,2,0,,1
T2,A02,F023,1,2,0,,1
T2,A02,F024,1,1,0,,1
T2,A02,F025,1,2,0,,1
T2,A02,F026,1,2,0,,1
T2,A02,F027,1,1,1,1,0
T2,A02,F028,1,2,0,,1
T2,A02,F029,1,2,0,,1
T2,A02,F030,1,1,1,1,0
T2,A02,F031,1,1,0,,1
T2,A02,F032,1,2,0,,1
T2,A02,F033,1,2,0,,1
T2,A02,F034,1,2,0,,1
T2,A02,F035,1,2,0,,1
T2,A02,F036,1,2,0,,1
T2,A02,F037,1,3,0,,1
T2,A02,F038,1,1,0,,1
T2,A02,F039,1,2,0,,1
T2,A02,F040,1,2,0,,1
T2,A02,F041,1,2,0,,1
T2,A02,F042,1,3,0,,1
T2,A02,F043,1,2,0,,1
T2,A02,F044,1,1,0,,1
T2,A02,F045,1,2,0,,1
T2,A02,F046,1,2,0,,1
T2,A02,F047,1,2,0,,1
T2,A02,F048,1,2,0,,1
T2,A02,F049,1,2,0,,1
T2,A02,F050,1,3,0,,1
T2,A02,F051,1,2,0,,1
T2,A02,F052,1,2,0,,1
T2,A03,F001,1,2,0,,1
T2,A03,F002,1,2,0,,1
T2,A03,F003,1,2,0,,1
T2,A03,F004,1,2,0,,1
T2,A03,F005,1,2,0,,1
T2,A03,F006,1,1,0,,1
T2,A03,F007,1,2,0,,1
T2,A03,F008,1,2,0,,1
T2,A03,F009,1,2,0,,1
T2,A03,F010,1,2,0,,1
T2,A03,F011,1,1,0,,1
T2,A03,F012,1,2,0,,1
T2,A03,F013,1,3,0,,1
T2,A03,F014,1,2,0,,1
T2,A03,F015,1,2,0,,1
T2,A03,F016,1,2,0,,1
T2,A03,F017,1,2,0,,1
T2,A03,F018,1,1,0,,1
T2,A03,F019,1,2,0,,1
T2,A03,F020,1,2,0,,1
T2,A03,F021,1,2,0,,1
T2,A03,F022,1,2,0,,1
T2,A03,F023,1,2,0,,1
T2,A03,F024,1,1,0,,1
T2,A03,F025,1,2,0,,1
T2,A03,F026,1,2,0,,1
T2,A03,F027,1,2,0,,1
T2,A03,F028,1,2,0,,1
T2,A03,F029,1,2,0,,1
T2,A03,F030,1,2,0,,1
T2,A03,F031,1,1,0,,1
T2,A03,F032,1,2,0,,1
T2,A03,F033,1,2,0,,1
T2,A03,F034,1,2,0,,1
T2,A03,F035,1,2,0,,1
T2,A03,F036,1,2,0,,1
T2,A03,F037,1,3,0,,1
T2,A03,F038,1,1,0,,1
T2,A03,F039,1,2,0,,1
T2,A03,F040,1,2,0,,1
T2,A03,F041,1,2,0,,1
T2,A03,F042,1,3,0,,1
T2,A03,F043,1,2,0,,1
T2,A03,F044,1,1,0,,1
T2,A03,F045,1,2,0,,1
T2,A03,F046,1,2,0,,1
T2,A03,F047,1,2,0,,1
T2,A03,F048,1,2,0,,1
T2,A03,F049,1,2,0,,1
T2,A03,F050,1,3,0,,1
T2,A03,F051,1,2,0,,1
T2,A03,F052,1,2,0,,1
T3,A01,F001,1,1,1,1,0
T3,A01,F002,1,1,1,1,0
T3,A01,F003,1,1,1,1,0
T3,A01,F004,1,1,1,1,0
T3,A01,F005,1,1,1,1,0
T3,A01,F006,1,1,1,1,0
T3,A01,F007,1,1,1,1,0
T3,A01,F008,1,1,1,1,0
T3,A01,F009,1,1,1,1,0
T3,A01,F010,1,1,1,1,0
T3,A01,F011,1,1,1,1,0
T3,A01,F012,1,1,1,1,0
T3,A01,F013,1,2,0,,1
T3,A01,F014,1,1,1,1,0
T3,A01,F015,1,1,1,1,0
T3,A01,F016,1,1,1,1,0
T3,A01,F017,1,1,1,1,0
T3,A01,F018,1,1,1,1,0
T3,A01,F019,1,1,1,1,0
T3,A01,F020,1,1,1,1,0
T3,A01,F021,1,1,1,1,0
T3,A01,F022,1,1,1,1,0
T3,A01,F023,1,2,0,,1
T3,A01,F024,1,1,1,1,0
T3,A01,F025,1,1,1,1,0
T3,A01,F026,1,1,1,1,0
T3,A01,F027,1,1,1,1,0
T3,A01,F028,1,1,1,1,0
T3,A01,F029,1,1,1,1,0
T3,A01,F030,1,1,1,1,0
T3,A01,F031,1,1,0,,1
T3,A01,F032,1,2,0,,1
T3,A01,F033,1,1,1,1,0
T3,A01,F034,1,2,0,,1
T3,A01,F035,1,2,0,,1
T3,A01,F036,1,1,1,1,0
T3,A01,F037,1,2,0,,1
T3,A01,F038,1,1,0,,1
T3,A01,F039,1,1,1,1,0
T3,A01,F040,1,2,0,,1
T3,A01,F041,1,2,0,,1
T3,A01,F042,1,2,0,,1
T3,A01,F043,1,2,0,,1
T3,A01,F044,1,1,0,,1
T3,A01,F045,1,2,0,,1
T3,A01,F046,1,1,1,1,0
T3,A01,F047,1,2,0,,1
T3,A01,F048,1,2,0,,1
T3,A01,F049,1,2,0,,1
T3,A01,F050,1,1,0,,1
T3,A01,F051,1,2,0,,1
T3,A01,F052,1,2,0,,1
T3,A02,F001,1,1,1,1,0
T3,A02,F002,1,2,0,,1
T3,A02,F003,1,1,1,1,0
T3,A02,F004,1,1,1,1,0
T3,A02,F005,1,1,1,1,0
T3,A02,F006,1,1,0,,1
T3,A02,F007,1,2,0,,1
T3,A02,F008,1,2,0,,1
T3,A02,F009,1,1,1,1,0
T3,A02,F010,1,2,0,,1
T3,A02,F011,1,1,1,1,0
T3,A02,F012,1,1,1,1,0
T3,A02,F013,1,2,0,,1
T3,A02,F014,1,1,1,1,0
T3,A02,F015,1,1,1,1,0
T3,A02,F016,1,1,1,1,0
T3,A02,F017,1,1,1,1,0
T3,A02,F018,1,1,1,1,0
T3,A02,F019,1,1,1,1,0
T3,A02,F020,1,1,1,1,0
T3,A02,F021,1,1,1,1,0
T3,A02,F022,1,1,1,1,0
T3,A02,F023,1,2,0,,1
T3,A02,F024,1,1,1,1,0
T3,A02,F025,1,1,1,1,0
T3,A02,F026,1,1,1,1,0
T3,A02,F027,1,1,1,1,0
T3,A02,F028,1,2,0,,1
T3,A02,F029,1,1,1,1,0
T3,A02,F030,1,1,1,1,0
T3,A02,F031,1,1,0,,1
T3,A02,F032,1,2,0,,1
T3,A02,F033,1,1,1,1,0
T3,A02,F034,1,2,0,,1
T3,A02,F035,1,2,0,,1
T3,A02,F036,1,1,1,1,0
T3,A02,F037,1,2,0,,1
T3,A02,F038,1,1,0,,1
T3,A02,F039,1,1,1,1,0
T3,A02,F040,1,2,0,,1
T3,A02,F041,1,2,0,,1
T3,A02,F042,1,2,0,,1
T3,A02,F043,1,2,0,,1
T3,A02,F044,1,1,0,,1
T3,A02,F045,1,2,0,,1
T3,A02,F046,1,1,1,1,0
T3,A02,F047,1,1,1,1,0
T3,A02,F048,1,2,0,,1
T3,A02,F049,1,1,1,1,0
T3,A02,F050,1,1,0,,1
T3,A02,F051,1,2,0,,1
T3,A02,F052,1,2,0,,1
T3,A03,F001,1,2,0,,1
T3,A03,F002,1,2,0,,1
T3,A03,F003,1,2,0,,1
T3,A03,F004,1,2,0,,1
T3,A03,F005,1,2,0,,1
T3,A03,F006,1,1,0,,1
T3,A03,F007,1,2,0,,1
T3,A03,F008,1,2,0,,1
T3,A03,F009,1,1,1,1,0
T3,A03,F010,1,2,0,,1
T3,A03,F011,1,1,0,,1
T3,A03,F012,1,2,0,,1
T3,A03,F013,1,2,0,,1
T3,A03,F014,1,1,1,1,0
T3,A03,F015,1,2,0,,1
T3,A03,F016,1,1,1,1,0
T3,A03,F017,1,1,1,1,0
T3,A03,F018,1,1,0,,1
T3,A03,F019,1,2,0,,1
T3,A03,F020,1,1,1,1,0
T3,A03,F021,1,1,1,1,0
T3,A03,F022,1,1,1,1,0
T3,A03,F023,1,2,0,,1
T3,A03,F024,1,1,0,,1
T3,A03,F025,1,1,1,1,0
T3,A03,F026,1,2,0,,1
T3,A03,F027,1,1,1,1,0
T3,A03,F028,1,2,0,,1
T3,A03,F029,1,1,1,1,0
T3,A03,F030,1,1,1,1,0
T3,A03,F031,1,1,0,,1
T3,A03,F032,1,2,0,,1
T3,A03,F033,1,2,0,,1
T3,A03,F034,1,2,0,,1
T3,A03,F035,1,2,0,,1
T3,A03,F036,1,1,1,1,0
T3,A03,F037,1,2,0,,1
T3,A03,F038,1,1,0,,1
T3,A03,F039,1,1,1,1,0
T3,A03,F040,1,2,0,,1
T3,A03,F041,1,2,0,,1
T3,A03,F042,1,2,0,,1
T3,A03,F043,1,2,0,,1
T3,A03,F044,1,1,0,,1
T3,A03,F045,1,2,0,,1
T3,A03,F046,1,1,1,1,0
T3,A03,F047,1,2,0,,1
T3,A03,F048,1,2,0,,1
T3,A03,F049,1,2,0,,1
T3,A03,F050,1,1,0,,1
T3,A03,F051,1,2,0,,1
T3,A03,F052,1,2,0,,1
